Source File,Detected Company,Bloomberg Identifier,Currency,Mapped Deal IDs,Mapped Deal(s),Import Status,First Actual Year,Last Actual Year,Actual Years Available,Notes
FA(1).xlsx,Zentiva Group AS,1193932D CP,EUR,"CTL-0055, CTL-0038",CTL-0055 — Zentiva Acquires Creo Pharma (2019); CTL-0038 — Zentiva Acquires Labormed Pharma from Alvogen (2020),Mapped and imported,2010,2017,8,Financial data populated in all mapped deal rows; event windows differ by deal.
FA_0exnoa1t(1).xlsx,Swedbank Robur Fonder AB,7527492Z SS,EUR,CTL-0186,CTL-0186 — Swedbank Robur Fonder Acquires 8.31% Stake in Camurus (2015),Mapped and imported,2009,2022,14,Financial data populated in all mapped deal rows; event windows differ by deal.
FA_0o4gcap4(1).xlsx,Recordati Industria Chimica e Farmaceutica SpA,REC IM,EUR,"CTL-0064, CTL-0298",CTL-0064 — Recordati Acquires Tonipharm (2018); CTL-0298 — Recordati acquires Farma-Projekt (2012),Mapped and imported,2006,2025,20,Financial data populated in all mapped deal rows; event windows differ by deal.
FA_2caqezfb(1).xlsx,UCB SA,UCB BB,EUR,CTL-0005,CTL-0005 — UCB Acquires Handl Therapeutics (2020),Mapped and imported,2006,2025,20,Financial data populated in all mapped deal rows; event windows differ by deal.
FA_2cy3f4v1(1).xlsx,TiGenix NV,TIG BB,EUR,CTL-0202,CTL-0202 — TiGenix acquires Coretherapix (2015),Mapped and imported,2004,2017,14,Financial data populated in all mapped deal rows; event windows differ by deal.
FA_2yqxuxr4(1).xlsx,Corp Quimico Farmaceutica Esteve SA,0646926D SM,EUR,CTL-0028,CTL-0028 — Esteve Pharma Acquires Riemser Pharma from Ardian (2020),Mapped and imported,2009,2021,12,Financial data populated in all mapped deal rows; event windows differ by deal.
FA_3rjllluw(1).xlsx,Merz Pharma GmbH & Co KGaA,3135240Z GR,EUR,CTL-0279,CTL-0279 — Merz Pharma acquires Neocutis (2013),Mapped and imported,2010,2025,13,Financial data populated in all mapped deal rows; event windows differ by deal.
FA_5ubqgkvb(1).xlsx,Ethypharm SAS,49927Z FP,EUR,CTL-0198,CTL-0198 — Ethypharm acquires 100% stake of DB Ashbourne (DBA Group) (2015),Mapped and imported,2009,2013,5,Financial data populated in all mapped deal rows; event windows differ by deal.
FA_a2gqostv(1).xlsx,Vaxart Inc,VXRT US,EUR,CTL-0107,CTL-0107 — Aviragen Therapeutics Completes Merger With Vaxart (2018),Mapped and imported,2005,2025,20,Financial data populated in all mapped deal rows; event windows differ by deal.
FA_bcsk4j2m.xlsx,Ipsen SA,IPN FP,EUR,CTL-0281,CTL-0281 — Ipsen acquires Syntaxin (2013),Mapped and imported,2006,2025,20,Financial data populated in all mapped deal rows; event windows differ by deal.
FA_bqfsngcz.xlsx,Usv Pvt Ltd,7745972Z IN,EUR,CTL-0096,CTL-0096 — USV Acquires Juta Pharma (2018),Mapped and imported,2016,2023,8,Financial data populated in all mapped deal rows; event windows differ by deal.
FA_cupd0q0b(1).xlsx,Roche Holding AG,ROP SW,EUR,"CTL-0230, CTL-0234, CTL-0071",CTL-0230 — Roche acquires Signature Diagnostics (2015); CTL-0234 — Roche Acquires Trophos for USD386 Million (2015); CTL-0071 — Roche Acquires Tusk Therapeutics (2018),Mapped and imported,2006,2025,20,Financial data populated in all mapped deal rows; event windows differ by deal.
FA_cvd2r0rj(1).xlsx,Busy Bees Nurseries Ltd,1784209Z LN,EUR,CTL-0151,CTL-0151 — Busy Bees Nurseries acquires Teddy Bear Club Nursery (2016),Mapped and imported,2004,2019,13,Financial data populated in all mapped deal rows; event windows differ by deal.
FA_fkkewk3y(1).xlsx,Correvio Pharma Corp,CORV CN,EUR,CTL-0275,CTL-0275 — Cardiome Pharma acquires Correvio (2013),Mapped and imported,2000,2019,20,Financial data populated in all mapped deal rows; event windows differ by deal.
FA_gkdpvbqm(1).xlsx,Zambon SpA,4455449Z IM,EUR,CTL-0207,CTL-0207 — Zambon acquires Nigaard (2015),Mapped and imported,2009,2023,15,Financial data populated in all mapped deal rows; event windows differ by deal.
FA_grbfxeyh(1).xlsx,Vectura Group Ltd,VEC LN,EUR,"CTL-0264, CTL-0263, CTL-0173, CTL-0172","CTL-0264 — Vectura Group acquires Activaero (2014); CTL-0263 — Vectura Acquires Activaero, Medical Device Company, For US$181 Million (2014); CTL-0173 — SkyePharma Merges with Vectura (2016); CTL-0172 — Vectura Group acquires 100% stake in SkyePharma (2016)",Mapped and imported,2003,2020,18,Financial data populated in all mapped deal rows; event windows differ by deal.
FA_h2pqvct4(1).xlsx,Shire PLC,SHP LN,EUR,CTL-0288,CTL-0288 — Shire acquires Premacure (2013),Mapped and imported,1998,2017,20,Financial data populated in all mapped deal rows; event windows differ by deal.
FA_jhueosor(1).xlsx,GSK PLC,GSK LN,EUR,"CTL-0284, CTL-0229",CTL-0284 — GlaxoSmithKline acquires Okairos (2013); CTL-0229 — GlaxoSmithKline Acquires Remaining Stake in GlycoVaxyn for USD190 Million (2015),Mapped and imported,2005,2025,20,Financial data populated in all mapped deal rows; event windows differ by deal.
FA_jela4tca(1).xlsx,Corp Quimico Farmaceutica Esteve SA,0646926D SM,EUR,CTL-0028,Duplicate of FA_2yqxuxr4(1).xlsx,Duplicate export — not imported twice,2009,2021,12,Metrics are identical to the primary Esteve file.
Celyad Oncology SA(4).xlsx,Celyad Oncology SA,CYAD BB,EUR,,,Unmapped — preserved in raw sheet only,2010,2025,16,No Celyad acquirer/deal was found in the current control-group deal workbook.
