Deal_ID,Initial_Group,Final_Classification,Classification_Confidence,Initial_Treatment,Final_Treatment,Main_DiD_Decision,Acquirer,Target,Completion_Year,Relative_Year,Calendar_Year,Post_Excluding_t0,Post_Including_t0,Treatment_x_Post,Revenue_m,Operating_Income_m,Net_Income_m,Total_Assets_m,Total_Debt_m,R_and_D_Expense_m,ROA_pct,Operating_Margin_pct,Leverage_pct,Patent_Family_Count,Citation_Weighted_Output,Cross_Border_Flag,Deal_Value_USD_m,Financial_Row_Complete,Patent_Row_Complete,Panel_Notes
CTL-0001,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Emmes Corp,Neox sro,2020,-3,2017,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0001,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Emmes Corp,Neox sro,2020,-2,2018,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0001,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Emmes Corp,Neox sro,2020,-1,2019,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0001,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Emmes Corp,Neox sro,2020,0,2020,0,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0001,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Emmes Corp,Neox sro,2020,1,2021,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0001,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Emmes Corp,Neox sro,2020,2,2022,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0001,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Emmes Corp,Neox sro,2020,3,2023,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0002,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,VERAXA Biotech GmbH,Velabs Therapeutics GmbH (Inactive); Araxa Biosciences GmbH (Inactive),2020,-3,2017,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0002,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,VERAXA Biotech GmbH,Velabs Therapeutics GmbH (Inactive); Araxa Biosciences GmbH (Inactive),2020,-2,2018,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0002,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,VERAXA Biotech GmbH,Velabs Therapeutics GmbH (Inactive); Araxa Biosciences GmbH (Inactive),2020,-1,2019,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0002,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,VERAXA Biotech GmbH,Velabs Therapeutics GmbH (Inactive); Araxa Biosciences GmbH (Inactive),2020,0,2020,0,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0002,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,VERAXA Biotech GmbH,Velabs Therapeutics GmbH (Inactive); Araxa Biosciences GmbH (Inactive),2020,1,2021,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0002,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,VERAXA Biotech GmbH,Velabs Therapeutics GmbH (Inactive); Araxa Biosciences GmbH (Inactive),2020,2,2022,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0002,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,VERAXA Biotech GmbH,Velabs Therapeutics GmbH (Inactive); Araxa Biosciences GmbH (Inactive),2020,3,2023,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0003,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Link Medical Research AS,IRW Consulting AB,2020,-3,2017,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0003,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Link Medical Research AS,IRW Consulting AB,2020,-2,2018,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0003,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Link Medical Research AS,IRW Consulting AB,2020,-1,2019,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0003,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Link Medical Research AS,IRW Consulting AB,2020,0,2020,0,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0003,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Link Medical Research AS,IRW Consulting AB,2020,1,2021,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0003,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Link Medical Research AS,IRW Consulting AB,2020,2,2022,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0003,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Link Medical Research AS,IRW Consulting AB,2020,3,2023,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0004,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Mendus AB,DC Prime BV,2020,-3,2017,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0004,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Mendus AB,DC Prime BV,2020,-2,2018,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0004,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Mendus AB,DC Prime BV,2020,-1,2019,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0004,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Mendus AB,DC Prime BV,2020,0,2020,0,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0004,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Mendus AB,DC Prime BV,2020,1,2021,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0004,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Mendus AB,DC Prime BV,2020,2,2022,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0004,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Mendus AB,DC Prime BV,2020,3,2023,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0005,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,UCB SA,Handl Therapeutics,2020,-3,2017,0,0,,4530.0,1130.0,753.0,9917.0,1630.0,1057.0,7.4817,24.9448,16.4364,27.0,107.0,Unknown,,Yes,Yes,
CTL-0005,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,UCB SA,Handl Therapeutics,2020,-2,2018,0,0,,4632.0,1105.0,800.0,10514.0,1531.0,1161.0,7.8312,23.8558,14.5615,15.0,5.0,Unknown,,Yes,Yes,
CTL-0005,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,UCB SA,Handl Therapeutics,2020,-1,2019,0,0,,4913.0,1118.0,792.0,11081.0,1282.0,1272.0,7.335,22.756,11.5694,18.0,26.0,Unknown,,Yes,Yes,
CTL-0005,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,UCB SA,Handl Therapeutics,2020,0,2020,0,1,,5347.0,1093.0,732.0,13319.0,2750.0,1569.0,6.0,20.4414,20.6472,25.0,7.0,Unknown,,Yes,Yes,
