Source_File,Company_or_Group,Mapping_Status,Deal_ID,Completion_Year,Raw_Rows,Alias_Matched_Rows,Excluded_Rows,Unique_Families,Observed_Min_Priority_Year,Observed_Max_Priority_Year,Event_Window,Covered_Event_Years,Coverage_Status,Notes
Corp Quimico Farmaceutica Esteve SA.csv,Corp Quimico Farmaceutica Esteve SA,Rejected — no valid company rows,CTL-0028,2020,42,0,42,0,,,2017–2023,0,,Uploaded export does not contain Esteve applicants/owners; it contains Samyang entities. Preserved for audit but not imported.
Ethypharm SAS.csv,Ethypharm SAS,Mapped and imported,CTL-0198,2015,10,8,2,8,2011.0,2019.0,2012–2018,7,Complete,Applicant/owner alias match for Ethypharm. Rows labelled ERYPHARM are excluded.
GSK(1).csv,GSK PLC,Mapped and imported — partial event window,CTL-0284,2013,30,30,0,30,2011.0,2021.0,2010–2016,6,Partial,Export is concentrated on GSK Consumer Healthcare/Haleon entities and may not represent the full GSK pharmaceutical group.
GSK(1).csv,GSK PLC,Mapped and imported,CTL-0229,2015,30,30,0,30,2011.0,2021.0,2012–2018,7,Complete,Export is concentrated on GSK Consumer Healthcare/Haleon entities and may not represent the full GSK pharmaceutical group.
Ipsen SA.csv,Ipsen SA,Mapped and imported — partial event window,CTL-0281,2013,50,50,0,50,2011.0,2022.0,2010–2016,6,Partial,Applicant/owner alias match for Ipsen group entities.
Merz Pharma GmbH & Co. KGaA.csv,Merz Pharma GmbH & Co. KGaA,Mapped and imported — partial event window,CTL-0279,2013,73,73,0,73,2011.0,2022.0,2010–2016,6,Partial,Applicant/owner alias match for Merz Pharma entities.
Recordati Industria Chimica e Farmaceutica SpA.csv,Recordati Industria Chimica e Farmaceutica SpA,Mapped and imported — partial event window,CTL-0064,2018,7,7,0,7,2016.0,2021.0,2015–2021,6,Partial,Applicant/owner alias match for Recordati entities; observed priority years begin in 2016.
Recordati Industria Chimica e Farmaceutica SpA.csv,Recordati Industria Chimica e Farmaceutica SpA,Mapped but no event-window coverage,CTL-0298,2012,7,7,0,7,2016.0,2021.0,2009–2015,0,,Applicant/owner alias match for Recordati entities; observed priority years begin in 2016.
Roche Holding AG.csv,Roche Holding AG,Mapped and imported,CTL-0230,2015,53,53,0,53,2011.0,2024.0,2012–2018,7,Complete,Export is concentrated on Roche Diagnostics and Roche Glycart entities; group-wide patent coverage may be incomplete.
Roche Holding AG.csv,Roche Holding AG,Mapped and imported,CTL-0234,2015,53,53,0,53,2011.0,2024.0,2012–2018,7,Complete,Export is concentrated on Roche Diagnostics and Roche Glycart entities; group-wide patent coverage may be incomplete.
Roche Holding AG.csv,Roche Holding AG,Mapped and imported,CTL-0071,2018,53,53,0,53,2011.0,2024.0,2015–2021,7,Complete,Export is concentrated on Roche Diagnostics and Roche Glycart entities; group-wide patent coverage may be incomplete.
shire(1).csv,Shire PLC,Mapped and imported — partial event window,CTL-0288,2013,108,108,0,108,2011.0,2019.0,2010–2016,6,Partial,Export is concentrated on Shire Human Genetic Therapies and related Shire entities.
TiGenix NV.csv,TiGenix NV,Mapped and imported — partial event window,CTL-0202,2015,2,2,0,2,2011.0,2013.0,2012–2018,2,Partial,Applicant/owner alias match for TiGenix; observed coverage is limited to 2011–2013.
UCB SA.csv,UCB SA,Mapped and imported,CTL-0005,2020,271,271,0,271,2011.0,2024.0,2017–2023,7,Complete,Applicant/owner alias match for UCB Biopharma and UCB Pharma entities.
USV Pvt Ltd.csv,USV Pvt Ltd,Mapped and imported — partial event window,CTL-0096,2018,5,5,0,5,2011.0,2020.0,2015–2021,6,Partial,Applicant/owner alias match for USV Private Ltd.
Vaxart Inc..csv,Vaxart Inc.,Mapped and imported,CTL-0107,2018,5,5,0,5,2014.0,2021.0,2015–2021,7,Complete,Applicant/owner alias match for Vaxart and predecessor Aviragen/Biota references where present.
Vectura Group Ltd.csv,Vectura Group Ltd,Mapped and imported,CTL-0264,2014,51,51,0,51,2011.0,2021.0,2011–2017,7,Complete,"Applicant/owner alias match for Vectura group subsidiaries, including Vectura Ltd, Vectura GmbH and Vectura Delivery Devices."
Vectura Group Ltd.csv,Vectura Group Ltd,Mapped and imported,CTL-0263,2014,51,51,0,51,2011.0,2021.0,2011–2017,7,Complete,"Applicant/owner alias match for Vectura group subsidiaries, including Vectura Ltd, Vectura GmbH and Vectura Delivery Devices."
Vectura Group Ltd.csv,Vectura Group Ltd,Mapped and imported,CTL-0173,2016,51,51,0,51,2011.0,2021.0,2013–2019,7,Complete,"Applicant/owner alias match for Vectura group subsidiaries, including Vectura Ltd, Vectura GmbH and Vectura Delivery Devices."
Vectura Group Ltd.csv,Vectura Group Ltd,Mapped and imported,CTL-0172,2016,51,51,0,51,2011.0,2021.0,2013–2019,7,Complete,"Applicant/owner alias match for Vectura group subsidiaries, including Vectura Ltd, Vectura GmbH and Vectura Delivery Devices."
Zambon SpA.csv,Zambon SpA,Mapped and imported,CTL-0207,2015,20,20,0,20,2011.0,2021.0,2012–2018,7,Complete,Applicant/owner alias match for Zambon SpA.
Zentiva Group AS.csv,Zentiva Group AS,Mapped and imported — partial event window,CTL-0055,2019,16,16,0,16,2011.0,2020.0,2016–2022,5,Partial,Applicant/owner alias match for Zentiva entities; the most recent event windows are only partially covered.
Zentiva Group AS.csv,Zentiva Group AS,Mapped and imported — partial event window,CTL-0038,2020,16,16,0,16,2011.0,2020.0,2017–2023,4,Partial,Applicant/owner alias match for Zentiva entities; the most recent event windows are only partially covered.
