Source_File,Company_or_Group,Deal_ID,Completion_Year,Calendar_Year,Relative_Year,Within_Event_Window,Coverage_Basis,Patent_Family_Count,Citation_Weighted_Output,Observed_Min_Year,Observed_Max_Year
Ethypharm SAS.csv,Ethypharm SAS,CTL-0198,2015,2011,-4,No,Inferred from observed earliest-priority-year range,1,1,2011,2019
Ethypharm SAS.csv,Ethypharm SAS,CTL-0198,2015,2012,-3,Yes,Inferred from observed earliest-priority-year range,3,0,2011,2019
Ethypharm SAS.csv,Ethypharm SAS,CTL-0198,2015,2013,-2,Yes,Inferred from observed earliest-priority-year range,1,3,2011,2019
Ethypharm SAS.csv,Ethypharm SAS,CTL-0198,2015,2014,-1,Yes,Inferred from observed earliest-priority-year range,1,0,2011,2019
Ethypharm SAS.csv,Ethypharm SAS,CTL-0198,2015,2015,0,Yes,Inferred from observed earliest-priority-year range,0,0,2011,2019
Ethypharm SAS.csv,Ethypharm SAS,CTL-0198,2015,2016,1,Yes,Inferred from observed earliest-priority-year range,0,0,2011,2019
Ethypharm SAS.csv,Ethypharm SAS,CTL-0198,2015,2017,2,Yes,Inferred from observed earliest-priority-year range,0,0,2011,2019
Ethypharm SAS.csv,Ethypharm SAS,CTL-0198,2015,2018,3,Yes,Inferred from observed earliest-priority-year range,0,0,2011,2019
Ethypharm SAS.csv,Ethypharm SAS,CTL-0198,2015,2019,4,No,Inferred from observed earliest-priority-year range,2,0,2011,2019
GSK(1).csv,GSK PLC,CTL-0284,2013,2011,-2,Yes,Inferred from observed earliest-priority-year range,1,0,2011,2021
GSK(1).csv,GSK PLC,CTL-0284,2013,2012,-1,Yes,Inferred from observed earliest-priority-year range,0,0,2011,2021
GSK(1).csv,GSK PLC,CTL-0284,2013,2013,0,Yes,Inferred from observed earliest-priority-year range,7,37,2011,2021
GSK(1).csv,GSK PLC,CTL-0284,2013,2014,1,Yes,Inferred from observed earliest-priority-year range,1,0,2011,2021
GSK(1).csv,GSK PLC,CTL-0284,2013,2015,2,Yes,Inferred from observed earliest-priority-year range,2,1,2011,2021
GSK(1).csv,GSK PLC,CTL-0284,2013,2016,3,Yes,Inferred from observed earliest-priority-year range,6,18,2011,2021
GSK(1).csv,GSK PLC,CTL-0284,2013,2017,4,No,Inferred from observed earliest-priority-year range,2,0,2011,2021
GSK(1).csv,GSK PLC,CTL-0284,2013,2018,5,No,Inferred from observed earliest-priority-year range,2,9,2011,2021
