Deal_ID,Initial_Group,screen_group,Initial_Treatment_Indicator,Source_File,Cross_File_Key,Overlap_Flag,Duplicate_Flag,dup_drop,overlap_resolution_note,same_firm_year_note,Announced_Date,Completion_Date,Completion_Year,Deal_Status,Deal_Headline,Deal_Subtype_Level_3,Deal_Country_s,Acquirer_Raw,Acquirer_Normalized,Target_Raw,Target_Normalized,Deal_Value_USD_m,Financial_Currency,Financial_Data_Status,Patent_Data_Status,Multiple_Deal_Acquirer,text_innov_hits,text_alt_hits,text_lean,Provisional_Classification,Provisional_Confidence,Requires_Human_Review,has_fin,has_pat,eligible_strict,eligible_broad
TRT-0001,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,les laboratoires servier acquires symphogen,Yes,No,False,,,2020-04-03,2020-06-04,2020,Completed,Les Laboratoires Servier Acquires Symphogen,100% Acquisition,Denmark,Les Laboratoires Servier SAS,les laboratoires servier,Symphogen A/S,symphogen a s,,,Not collected,Not collected,No,9,0,Text: innovation-leaning,Innovation-driven,Medium (screen + text agree),YES - provisional automated classification,False,False,True,True
TRT-0002,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,towa pharma acquires pensa investments,Yes,No,False,,,2019-12-23,2020-01-31,2020,Completed,Towa Pharma Acquires Pensa Investments,100% Acquisition,Spain,Towa Pharmaceutical Co Ltd,towa pharmaceutical,"Pensa Investments, S.L.",pensa investments s l,354.0,,Not collected,Not collected,No,0,4,Text: alternative-leaning,Borderline/mixed motive,Low (screen-text conflict),YES - provisional automated classification,False,False,True,True
TRT-0003,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,pfizer acquires therachon for,Yes,No,False,,,2019-05-08,2019-07-01,2019,Completed,Pfizer Acquires Therachon for USD810 Million,100% Acquisition,Switzerland,Pfizer Inc,pfizer,Therachon AG (Inactive),therachon,810.0,,Not collected,Not collected,No,6,1,Text: innovation-leaning,Innovation-driven,Medium (screen + text agree),YES - provisional automated classification,False,False,True,True
TRT-0004,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,gyroscope therapeutics merges with orbit biomedical,Yes,No,False,,,2019-04-11,2019-04-11,2019,Completed,Gyroscope Therapeutics Merges with Orbit Biomedical,,"United Kingdom , United States",Gyroscope Therapeutics Holdings Plc,gyroscope therapeutics,Orbit Biomedical Inc; Gyroscope Therapeutics Holdings Plc,orbit biomedical gyroscope therapeutics,,,Not collected,Not collected,No,5,1,Text: innovation-leaning,Innovation-driven,Medium (screen + text agree),YES - provisional automated classification,False,False,False,True
TRT-0005,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,trinetx acquires custodix,Yes,No,False,,,2019-04-02,2019-04-02,2019,Completed,TriNetX Acquires Custodix,100% Acquisition,Belgium,TriNetX LLC,trinetx,Custodix NV,custodix,,,Not collected,Not collected,No,3,0,Text: innovation-leaning,Innovation-driven,Medium (screen + text agree),YES - provisional automated classification,False,False,True,True
TRT-0006,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,bravo bidco boston scientific acquires btg for,Yes,No,False,,,2018-11-20,2019-08-19,2019,Completed,Bravo Bidco (Boston Scientific) Acquires BTG for USD4.24 Billion,100% Acquisition,United Kingdom,Bravo Bidco Ltd,bravo bidco,BTG Ltd,btg,4239.0,,Not collected,Not collected,No,1,1,Text: mixed/ambiguous,Innovation-driven,Low (screen only; weak/absent text),YES - provisional automated classification,False,False,True,True
TRT-0007,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,aphria acquires cc pharma,Yes,No,False,,,2018-11-05,2019-01-09,2019,Completed,Aphria Acquires CC Pharma,Majority Acquisition,Germany,Aphria Inc,aphria,CC Pharma GmbH,cc pharma,28.0,,Not collected,Not collected,No,0,3,Text: alternative-leaning,Borderline/mixed motive,Low (screen-text conflict),YES - provisional automated classification,False,False,False,True
TRT-0008,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,ingenza acquires stake in amprologix,Yes,No,False,,,2018-09-20,2018-09-20,2018,Completed,Ingenza Acquires Stake in Amprologix,Minority Acquisition,United Kingdom,Ingenza Ltd,ingenza,Amprologix Ltd,amprologix,,,Not collected,Not collected,No,2,1,Text: mixed/ambiguous,Innovation-driven,Low (screen only; weak/absent text),YES - provisional automated classification,False,False,False,False
TRT-0009,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,telix pharma acquires atlab pharma for,Yes,No,False,,,2018-09-11,2018-09-11,2018,Completed,Telix Pharma Acquires Atlab Pharma for USD10 Million,100% Acquisition,France,Telix Pharmaceuticals Ltd,telix pharmaceuticals,ATLAB Pharma SAS,atlab pharma,10.0,,Not collected,Not collected,No,7,1,Text: innovation-leaning,Innovation-driven,Medium (screen + text agree),YES - provisional automated classification,False,False,True,True
TRT-0010,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,sanofi acquires ablynx for,Yes,No,False,,,2018-01-29,2018-06-19,2018,Completed,Sanofi Acquires Ablynx for USD4.85 Billion,100% Acquisition,Belgium,Sanofi,sanofi,Ablynx NV,ablynx,4847.0,EUR,Complete,Complete event window — provisional; EP-only scope,No,4,0,Text: innovation-leaning,Innovation-driven,Medium (screen + text agree),YES - provisional automated classification,True,True,True,True
TRT-0011,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,takeda pharma acquires tigenix for,Yes,No,False,,,2018-01-05,2018-07-31,2018,Completed,Takeda Pharma Acquires TiGenix for USD626.4 Million,100% Acquisition,Belgium,Takeda Pharmaceutical Co Ltd,takeda pharmaceutical,TiGenix NV,tigenix,626.0,,Not collected,Not collected,No,1,4,Text: alternative-leaning,Borderline/mixed motive,Low (screen-text conflict),YES - provisional automated classification,False,False,True,True
