Source_File,Company_Detected,Currency,Mapping_Status,Deal_ID,Deal_or_Mapping,Completion_Year,Event_Window,Financial_Data_Status,Bloomberg_Ticker,Notes
ASTRAZENECA(1).xlsx,AstraZeneca PLC (AZN LN) - Adjusted,EUR,Unmatched — no verified deal row in supplied deal lists,,,,,Raw data retained only,AZN LN,Not assigned to a deal row because no supported acquisition event was identified in the supplied GlobalData files.
BIODEXA(1).xlsx,Biodexa Pharmaceuticals Plc (BDRX LN) - Adjusted,EUR,Added to treatment workbook from alternative-rationale export,TRT-0043,Biodexa (formerly Midatech)–Q Chip,2014.0,2011–2017,Partial,BDRX LN,Financial values populated in Deal_Master_Wide and linked Panel_DiD rows.
CALIDA(2).xlsx,Chinook Therapeutics Inc (KDNY US) - Adjusted,EUR,Mapped to existing treatment deal,TRT-0028,Chinook Therapeutics / Aduro BioTech–BioNovion,2015.0,2012–2018,Partial,KDNY US,Financial values populated in Deal_Master_Wide and linked Panel_DiD rows.
Celyad Oncology SA(3).xlsx,Celyad Oncology SA (CYAD BB) - BBG Adjusted,EUR,Unmatched — no verified deal row in supplied deal lists,,,,,Raw data retained only,CYAD BB,Not assigned to a deal row because no supported acquisition event was identified in the supplied GlobalData files.
Chiltern International Lt(2).xlsx,Chiltern International Ltd (2616654Z LN) - Balance Sheet,EUR,Unmatched — no verified deal row in supplied deal lists,,,,,Raw data retained only,2616654Z LN,Not assigned to a deal row because no supported acquisition event was identified in the supplied GlobalData files.
Eurofins Scientific SE(2).xlsx,Eurofins Scientific SE (ERF FP) - Standardized,EUR,Mapped to existing treatment deal,TRT-0039,Eurofins Scientific–AROS Applied Biotechnology,2013.0,2010–2016,Complete,ERF FP,Financial values populated in Deal_Master_Wide and linked Panel_DiD rows.
FA1_4cc5cedv(1).xlsx,Corp Quimico Farmaceutica Esteve SA (0646926D SM) - Balance Sheet,EUR,Added to treatment workbook from alternative-rationale export,TRT-0044,Esteve Pharmaceuticals–Riemser Pharma,2020.0,2017–2023,Partial,0646926D SM,Financial values populated in Deal_Master_Wide and linked Panel_DiD rows.
FA1_s511qg5q(1).xlsx,10X Genomics Inc (TXG US) - Adjusted,EUR,Unmatched — no verified deal row in supplied deal lists,,,,,Raw data retained only,TXG US,Not assigned to a deal row because no supported acquisition event was identified in the supplied GlobalData files.
GSK(1).xlsx,GSK PLC (GSK LN) - Adjusted,EUR,Mapped to existing treatment deal,TRT-0038,GSK–Okairos,2013.0,2010–2016,Complete,GSK LN,Financial values populated in Deal_Master_Wide and linked Panel_DiD rows.
Medipass Spa IT(1).xlsx,Medipass Spa/IT (1165955D IM) - Income Statement,EUR,Unmatched — no verified deal row in supplied deal lists,,,,,Raw data retained only,1165955D IM,Not assigned to a deal row because no supported acquisition event was identified in the supplied GlobalData files.
NICOX(1).xlsx,Nicox (ALCOX FP) - Standardized,EUR,Mapped to existing treatment deal,TRT-0034,Nicox–Doliage,2014.0,2011–2017,Partial,ALCOX FP,Financial values populated in Deal_Master_Wide and linked Panel_DiD rows.
SANOFI(1).xlsx,Sanofi SA (SAN FP) - Adjusted,EUR,Mapped to existing treatment deal,TRT-0010,Sanofi–Ablynx,2018.0,2015–2021,Complete,SAN FP,Financial values populated in Deal_Master_Wide and linked Panel_DiD rows.
SHIRE(1).xlsx,Shire PLC (SHP LN) - BBG Adjusted,USD,Added to treatment workbook from alternative-rationale export,TRT-0045,Shire–Premacure,2013.0,2010–2016,Complete,SHP LN,Financial values populated in Deal_Master_Wide and linked Panel_DiD rows.
