Source_File,Company_Detected,Currency,Mapped_Deal_ID,Mapping_Status,Year,Revenue_m,Operating_Income_m,Net_Income_m,Total_Assets_m,Total_Debt_m,R_and_D_Expense_m,ROA_pct,Operating_Margin_pct,Leverage_pct,Extraction_Notes
ASTRAZENECA(1).xlsx,AstraZeneca PLC (AZN LN) - Adjusted,EUR,,Unmatched,2006,,,,22694.6698,927.2879,,22.066,31.0331,4.0859,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
ASTRAZENECA(1).xlsx,AstraZeneca PLC (AZN LN) - Adjusted,EUR,,Unmatched,2007,,,,32885.5517,10395.6662,,14.3666,30.6506,31.6117,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
ASTRAZENECA(1).xlsx,AstraZeneca PLC (AZN LN) - Adjusted,EUR,,Unmatched,2008,,,,33529.7069,8608.1846,,12.8793,28.5972,25.6733,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
ASTRAZENECA(1).xlsx,AstraZeneca PLC (AZN LN) - Adjusted,EUR,,Unmatched,2009,23588.711,9179.0604,5408.2031,38322.5176,7719.6288,3049.6197,14.79,35.1878,20.1438,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
ASTRAZENECA(1).xlsx,AstraZeneca PLC (AZN LN) - Adjusted,EUR,,Unmatched,2010,25129.2905,10648.7342,6082.725,41992.3687,6899.596,3091.5924,14.5038,34.5487,16.4306,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
ASTRAZENECA(1).xlsx,AstraZeneca PLC (AZN LN) - Adjusted,EUR,,Unmatched,2011,24151.6155,9438.9095,7177.6838,40763.8889,7197.5309,3239.772,18.3247,38.0906,17.6566,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
ASTRAZENECA(1).xlsx,AstraZeneca PLC (AZN LN) - Adjusted,EUR,,Unmatched,2012,21768.4582,7606.8594,4855.9389,40565.28,7812.3816,3319.7813,11.7333,29.1281,19.2588,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
ASTRAZENECA(1).xlsx,AstraZeneca PLC (AZN LN) - Adjusted,EUR,,Unmatched,2013,19363.8485,5450.4365,1925.0125,40538.8353,7524.8386,3023.083,4.6714,14.4374,18.562,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
ASTRAZENECA(1).xlsx,AstraZeneca PLC (AZN LN) - Adjusted,EUR,,Unmatched,2014,20016.176,4130.3579,929.6698,48425.6198,8961.157,3770.7046,2.1538,8.419,18.505,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
ASTRAZENECA(1).xlsx,AstraZeneca PLC (AZN LN) - Adjusted,EUR,,Unmatched,2015,22274.5787,3945.0201,2546.7737,55269.6484,13853.3039,5102.5626,4.7619,16.7395,25.0649,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
ASTRAZENECA(1).xlsx,AstraZeneca PLC (AZN LN) - Adjusted,EUR,,Unmatched,2016,20792.8969,3943.9792,3162.9574,59283.2085,15936.2852,5163.4218,5.7088,22.2502,26.8816,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
ASTRAZENECA(1).xlsx,AstraZeneca PLC (AZN LN) - Adjusted,EUR,,Unmatched,2017,19926.6452,5212.9488,2661.9124,52698.3863,14812.0113,4928.219,4.768,16.3944,28.1071,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
ASTRAZENECA(1).xlsx,AstraZeneca PLC (AZN LN) - Adjusted,EUR,,Unmatched,2018,18720.5756,2904.274,1826.2943,52961.0548,16689.6612,4947.5202,3.4757,15.7854,31.5131,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
ASTRAZENECA(1).xlsx,AstraZeneca PLC (AZN LN) - Adjusted,EUR,,Unmatched,2019,21784.4889,3619.134,1192.6793,54659.3641,16232.0777,5322.834,2.188,12.4508,29.6968,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
ASTRAZENECA(1).xlsx,AstraZeneca PLC (AZN LN) - Adjusted,EUR,,Unmatched,2020,23348.3251,4012.2944,2803.5183,54584.0491,16670.7566,5224.5792,4.9896,19.7167,30.5414,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
ASTRAZENECA(1).xlsx,AstraZeneca PLC (AZN LN) - Adjusted,EUR,,Unmatched,2021,31653.4827,5396.4125,94.7481,92537.3265,27034.0769,6756.7246,0.1302,2.8784,29.2142,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
ASTRAZENECA(1).xlsx,AstraZeneca PLC (AZN LN) - Adjusted,EUR,,Unmatched,2022,42201.3074,8661.7777,3128.6307,90078.4241,27291.5694,9039.5351,3.2579,8.1328,30.2976,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
ASTRAZENECA(1).xlsx,AstraZeneca PLC (AZN LN) - Adjusted,EUR,,Unmatched,2023,42367.3302,10478.3098,5507.3553,91394.6132,25869.4866,9892.8932,6.0273,17.7927,28.3053,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
ASTRAZENECA(1).xlsx,AstraZeneca PLC (AZN LN) - Adjusted,EUR,,Unmatched,2024,49998.7564,11510.0793,6504.9332,100526.6209,29273.3597,12298.8083,6.8583,18.3493,29.12,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
ASTRAZENECA(1).xlsx,AstraZeneca PLC (AZN LN) - Adjusted,EUR,,Unmatched,2025,52064.5297,12748.6701,9063.1406,97200.0682,25240.2863,12460.5996,9.376,23.7202,25.9674,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
BIODEXA(1).xlsx,Biodexa Pharmaceuticals Plc (BDRX LN) - Adjusted,EUR,TRT-0043,Mapped,2011,0.0,-4.4787,-4.7173,6.4058,5.8733,1.5582,-73.64107527553155,,91.6869,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
BIODEXA(1).xlsx,Biodexa Pharmaceuticals Plc (BDRX LN) - Adjusted,EUR,TRT-0043,Mapped,2012,0.0,-4.9427,-4.9255,2.7335,6.7075,2.036,-105.4661,,245.385,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
BIODEXA(1).xlsx,Biodexa Pharmaceuticals Plc (BDRX LN) - Adjusted,EUR,TRT-0043,Mapped,2013,0.1732,-5.2995,-4.8107,6.216,4.0451,2.2675,-110.453,-3060.5442,65.0754,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
BIODEXA(1).xlsx,Biodexa Pharmaceuticals Plc (BDRX LN) - Adjusted,EUR,TRT-0043,Mapped,2014,0.1948,-10.7497,-10.947,60.0873,2.5483,6.7491,-34.0375,-6170.0637,4.241,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
BIODEXA(1).xlsx,Biodexa Pharmaceuticals Plc (BDRX LN) - Adjusted,EUR,TRT-0043,Mapped,2015,1.8941,-14.5055,-13.9118,86.8379,2.6441,8.1551,-18.245,-939.4909,3.0449,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
BIODEXA(1).xlsx,Biodexa Pharmaceuticals Plc (BDRX LN) - Adjusted,EUR,TRT-0043,Mapped,2016,8.4755,-23.4347,-24.6835,66.3531,2.5259,8.1829,-33.4001,-441.3549,3.8067,Historical non-estimate Bloomberg observation; ratios may be derived when the workbook lacked a complete ratio series.
