Deal_ID,Initial_Group,Final_Classification,Classification_Confidence,Initial_Treatment,Final_Treatment,Main_DiD_Decision,Acquirer,Target,Completion_Year,Relative_Year,Calendar_Year,Post_Excluding_t0,Post_Including_t0,Treatment_x_Post,Revenue_m,Operating_Income_m,Net_Income_m,Total_Assets_m,Total_Debt_m,R_and_D_Expense_m,ROA_pct,Operating_Margin_pct,Leverage_pct,Patent_Family_Count,Citation_Weighted_Output,Cross_Border_Flag,Deal_Value_USD_m,Financial_Row_Complete,Patent_Row_Complete,Panel_Notes
TRT-0001,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Les Laboratoires Servier SAS,Symphogen A/S,2020,-3,2017,0,0,,,,,,,,,,,,,Unknown,,No,No,
TRT-0001,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Les Laboratoires Servier SAS,Symphogen A/S,2020,-2,2018,0,0,,,,,,,,,,,,,Unknown,,No,No,
TRT-0001,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Les Laboratoires Servier SAS,Symphogen A/S,2020,-1,2019,0,0,,,,,,,,,,,,,Unknown,,No,No,
TRT-0001,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Les Laboratoires Servier SAS,Symphogen A/S,2020,0,2020,0,1,,,,,,,,,,,,,Unknown,,No,No,
TRT-0001,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Les Laboratoires Servier SAS,Symphogen A/S,2020,1,2021,1,1,,,,,,,,,,,,,Unknown,,No,No,
TRT-0001,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Les Laboratoires Servier SAS,Symphogen A/S,2020,2,2022,1,1,,,,,,,,,,,,,Unknown,,No,No,
TRT-0001,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Les Laboratoires Servier SAS,Symphogen A/S,2020,3,2023,1,1,,,,,,,,,,,,,Unknown,,No,No,
TRT-0002,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Towa Pharmaceutical Co Ltd,"Pensa Investments, S.L.",2020,-3,2017,0,0,,,,,,,,,,,,,Unknown,354.0,No,No,
TRT-0002,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Towa Pharmaceutical Co Ltd,"Pensa Investments, S.L.",2020,-2,2018,0,0,,,,,,,,,,,,,Unknown,354.0,No,No,
TRT-0002,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Towa Pharmaceutical Co Ltd,"Pensa Investments, S.L.",2020,-1,2019,0,0,,,,,,,,,,,,,Unknown,354.0,No,No,
TRT-0002,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Towa Pharmaceutical Co Ltd,"Pensa Investments, S.L.",2020,0,2020,0,1,,,,,,,,,,,,,Unknown,354.0,No,No,
TRT-0002,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Towa Pharmaceutical Co Ltd,"Pensa Investments, S.L.",2020,1,2021,1,1,,,,,,,,,,,,,Unknown,354.0,No,No,
TRT-0002,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Towa Pharmaceutical Co Ltd,"Pensa Investments, S.L.",2020,2,2022,1,1,,,,,,,,,,,,,Unknown,354.0,No,No,
TRT-0002,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Towa Pharmaceutical Co Ltd,"Pensa Investments, S.L.",2020,3,2023,1,1,,,,,,,,,,,,,Unknown,354.0,No,No,
TRT-0003,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Pfizer Inc,Therachon AG (Inactive),2019,-3,2016,0,0,,,,,,,,,,,,,Unknown,810.0,No,No,
TRT-0003,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Pfizer Inc,Therachon AG (Inactive),2019,-2,2017,0,0,,,,,,,,,,,,,Unknown,810.0,No,No,
TRT-0003,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Pfizer Inc,Therachon AG (Inactive),2019,-1,2018,0,0,,,,,,,,,,,,,Unknown,810.0,No,No,
TRT-0003,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Pfizer Inc,Therachon AG (Inactive),2019,0,2019,0,1,,,,,,,,,,,,,Unknown,810.0,No,No,
TRT-0003,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Pfizer Inc,Therachon AG (Inactive),2019,1,2020,1,1,,,,,,,,,,,,,Unknown,810.0,No,No,
TRT-0003,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Pfizer Inc,Therachon AG (Inactive),2019,2,2021,1,1,,,,,,,,,,,,,Unknown,810.0,No,No,
TRT-0003,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Pfizer Inc,Therachon AG (Inactive),2019,3,2022,1,1,,,,,,,,,,,,,Unknown,810.0,No,No,
TRT-0004,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Gyroscope Therapeutics Holdings Plc,Orbit Biomedical Inc; Gyroscope Therapeutics Holdings Plc,2019,-3,2016,0,0,,,,,,,,,,,,,Unknown,,No,No,
TRT-0004,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Gyroscope Therapeutics Holdings Plc,Orbit Biomedical Inc; Gyroscope Therapeutics Holdings Plc,2019,-2,2017,0,0,,,,,,,,,,,,,Unknown,,No,No,
TRT-0004,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Gyroscope Therapeutics Holdings Plc,Orbit Biomedical Inc; Gyroscope Therapeutics Holdings Plc,2019,-1,2018,0,0,,,,,,,,,,,,,Unknown,,No,No,
TRT-0004,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Gyroscope Therapeutics Holdings Plc,Orbit Biomedical Inc; Gyroscope Therapeutics Holdings Plc,2019,0,2019,0,1,,,,,,,,,,,,,Unknown,,No,No,
TRT-0004,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Gyroscope Therapeutics Holdings Plc,Orbit Biomedical Inc; Gyroscope Therapeutics Holdings Plc,2019,1,2020,1,1,,,,,,,,,,,,,Unknown,,No,No,
TRT-0004,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Gyroscope Therapeutics Holdings Plc,Orbit Biomedical Inc; Gyroscope Therapeutics Holdings Plc,2019,2,2021,1,1,,,,,,,,,,,,,Unknown,,No,No,
TRT-0004,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Gyroscope Therapeutics Holdings Plc,Orbit Biomedical Inc; Gyroscope Therapeutics Holdings Plc,2019,3,2022,1,1,,,,,,,,,,,,,Unknown,,No,No,
TRT-0005,Candidate treatment group,Not reviewed,Not assessed,1,,Review,TriNetX LLC,Custodix NV,2019,-3,2016,0,0,,,,,,,,,,,,,Unknown,,No,No,
TRT-0005,Candidate treatment group,Not reviewed,Not assessed,1,,Review,TriNetX LLC,Custodix NV,2019,-2,2017,0,0,,,,,,,,,,,,,Unknown,,No,No,
TRT-0005,Candidate treatment group,Not reviewed,Not assessed,1,,Review,TriNetX LLC,Custodix NV,2019,-1,2018,0,0,,,,,,,,,,,,,Unknown,,No,No,
TRT-0005,Candidate treatment group,Not reviewed,Not assessed,1,,Review,TriNetX LLC,Custodix NV,2019,0,2019,0,1,,,,,,,,,,,,,Unknown,,No,No,
TRT-0005,Candidate treatment group,Not reviewed,Not assessed,1,,Review,TriNetX LLC,Custodix NV,2019,1,2020,1,1,,,,,,,,,,,,,Unknown,,No,No,
TRT-0005,Candidate treatment group,Not reviewed,Not assessed,1,,Review,TriNetX LLC,Custodix NV,2019,2,2021,1,1,,,,,,,,,,,,,Unknown,,No,No,
TRT-0005,Candidate treatment group,Not reviewed,Not assessed,1,,Review,TriNetX LLC,Custodix NV,2019,3,2022,1,1,,,,,,,,,,,,,Unknown,,No,No,
TRT-0006,Candidate treatment group,Not reviewed,Not assessed,1,,Review,Bravo Bidco Ltd,BTG Ltd,2019,-3,2016,0,0,,,,,,,,,,,,,Unknown,4239.0,No,No,
