Source_File,Company_or_Group,Deal_ID,Completion_Year,Calendar_Year,Relative_Year,Within_Event_Window,Coverage_Basis,Patent_Family_Count,Raw_Forward_Citations,Citation_Metric_Definition,Scope_Notes
AstraZeneca_Lens_RAW_2009_2024.csv.csv,AstraZeneca,,,2009,,No,Explicit search range,53,149,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner search; explicit filename range 2009–2024; no verified deal row in workbook.
AstraZeneca_Lens_RAW_2009_2024.csv.csv,AstraZeneca,,,2010,,No,Explicit search range,34,165,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner search; explicit filename range 2009–2024; no verified deal row in workbook.
AstraZeneca_Lens_RAW_2009_2024.csv.csv,AstraZeneca,,,2011,,No,Explicit search range,20,34,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner search; explicit filename range 2009–2024; no verified deal row in workbook.
AstraZeneca_Lens_RAW_2009_2024.csv.csv,AstraZeneca,,,2012,,No,Explicit search range,14,47,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner search; explicit filename range 2009–2024; no verified deal row in workbook.
AstraZeneca_Lens_RAW_2009_2024.csv.csv,AstraZeneca,,,2013,,No,Explicit search range,15,9,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner search; explicit filename range 2009–2024; no verified deal row in workbook.
AstraZeneca_Lens_RAW_2009_2024.csv.csv,AstraZeneca,,,2014,,No,Explicit search range,17,20,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner search; explicit filename range 2009–2024; no verified deal row in workbook.
AstraZeneca_Lens_RAW_2009_2024.csv.csv,AstraZeneca,,,2015,,No,Explicit search range,20,44,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner search; explicit filename range 2009–2024; no verified deal row in workbook.
AstraZeneca_Lens_RAW_2009_2024.csv.csv,AstraZeneca,,,2016,,No,Explicit search range,20,5,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner search; explicit filename range 2009–2024; no verified deal row in workbook.
AstraZeneca_Lens_RAW_2009_2024.csv.csv,AstraZeneca,,,2017,,No,Explicit search range,22,7,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner search; explicit filename range 2009–2024; no verified deal row in workbook.
AstraZeneca_Lens_RAW_2009_2024.csv.csv,AstraZeneca,,,2018,,No,Explicit search range,37,17,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner search; explicit filename range 2009–2024; no verified deal row in workbook.
AstraZeneca_Lens_RAW_2009_2024.csv.csv,AstraZeneca,,,2019,,No,Explicit search range,32,21,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner search; explicit filename range 2009–2024; no verified deal row in workbook.
AstraZeneca_Lens_RAW_2009_2024.csv.csv,AstraZeneca,,,2020,,No,Explicit search range,50,29,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner search; explicit filename range 2009–2024; no verified deal row in workbook.
AstraZeneca_Lens_RAW_2009_2024.csv.csv,AstraZeneca,,,2021,,No,Explicit search range,36,23,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner search; explicit filename range 2009–2024; no verified deal row in workbook.
AstraZeneca_Lens_RAW_2009_2024.csv.csv,AstraZeneca,,,2022,,No,Explicit search range,40,13,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner search; explicit filename range 2009–2024; no verified deal row in workbook.
AstraZeneca_Lens_RAW_2009_2024.csv.csv,AstraZeneca,,,2023,,No,Explicit search range,18,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner search; explicit filename range 2009–2024; no verified deal row in workbook.
AstraZeneca_Lens_RAW_2009_2024.csv.csv,AstraZeneca,,,2024,,No,Explicit search range,1,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner search; explicit filename range 2009–2024; no verified deal row in workbook.
Chinook Therapeutics.csv,Chinook Therapeutics / Aduro BioTech,TRT-0028,2015.0,2015,0.0,Yes,Inferred from observed priority-year range,2,3,Raw family-level forward citations (max cited-by per family); not age/field normalised,Includes Chinook Therapeutics and former name Aduro BioTech; obvious unrelated Chinook entities excluded.
Chinook Therapeutics.csv,Chinook Therapeutics / Aduro BioTech,TRT-0028,2015.0,2016,1.0,Yes,Inferred from observed priority-year range,1,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Includes Chinook Therapeutics and former name Aduro BioTech; obvious unrelated Chinook entities excluded.
Chinook Therapeutics.csv,Chinook Therapeutics / Aduro BioTech,TRT-0028,2015.0,2017,2.0,Yes,Inferred from observed priority-year range,2,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Includes Chinook Therapeutics and former name Aduro BioTech; obvious unrelated Chinook entities excluded.
Chinook Therapeutics.csv,Chinook Therapeutics / Aduro BioTech,TRT-0028,2015.0,2018,3.0,Yes,Inferred from observed priority-year range,1,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Includes Chinook Therapeutics and former name Aduro BioTech; obvious unrelated Chinook entities excluded.
Chinook Therapeutics.csv,Chinook Therapeutics / Aduro BioTech,TRT-0028,2015.0,2019,4.0,No,Inferred from observed priority-year range,2,5,Raw family-level forward citations (max cited-by per family); not age/field normalised,Includes Chinook Therapeutics and former name Aduro BioTech; obvious unrelated Chinook entities excluded.
Chinook Therapeutics.csv,Chinook Therapeutics / Aduro BioTech,TRT-0028,2015.0,2020,5.0,No,Inferred from observed priority-year range,4,5,Raw family-level forward citations (max cited-by per family); not age/field normalised,Includes Chinook Therapeutics and former name Aduro BioTech; obvious unrelated Chinook entities excluded.
Chinook Therapeutics.csv,Chinook Therapeutics / Aduro BioTech,TRT-0028,2015.0,2021,6.0,No,Inferred from observed priority-year range,2,1,Raw family-level forward citations (max cited-by per family); not age/field normalised,Includes Chinook Therapeutics and former name Aduro BioTech; obvious unrelated Chinook entities excluded.
Chinook Therapeutics.csv,Chinook Therapeutics / Aduro BioTech,TRT-0028,2015.0,2022,7.0,No,Inferred from observed priority-year range,1,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Includes Chinook Therapeutics and former name Aduro BioTech; obvious unrelated Chinook entities excluded.
Esteve Pharmaceuticals.csv,Esteve Pharmaceuticals,TRT-0044,2020.0,2011,-9.0,No,Inferred from observed priority-year range,5,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner aliases for Esteve Pharmaceuticals and Laboratorios del Dr. Esteve.
Esteve Pharmaceuticals.csv,Esteve Pharmaceuticals,TRT-0044,2020.0,2012,-8.0,No,Inferred from observed priority-year range,7,2,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner aliases for Esteve Pharmaceuticals and Laboratorios del Dr. Esteve.
Esteve Pharmaceuticals.csv,Esteve Pharmaceuticals,TRT-0044,2020.0,2013,-7.0,No,Inferred from observed priority-year range,14,9,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner aliases for Esteve Pharmaceuticals and Laboratorios del Dr. Esteve.
Esteve Pharmaceuticals.csv,Esteve Pharmaceuticals,TRT-0044,2020.0,2014,-6.0,No,Inferred from observed priority-year range,10,2,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner aliases for Esteve Pharmaceuticals and Laboratorios del Dr. Esteve.
