0,1,2,3,4,5,6,7
Candidate treatment group — Dataset Status,,,,,,,
,,,,,,,
,,,,,,,
KPI,Value,,Completion Year,Deals,,Transaction subtype,Deals
Total deals,45,,2012,3,,100% Acquisition,25
Cross-file overlap,39,,2013,5,,Majority Acquisition,10
Within-file duplicate flags,0,,2014,4,,Minority Acquisition,5
100% acquisitions,24,,2015,6,,Reverse Acquisition,0
Majority acquisitions,8,,2016,7,,Merger / Unspecified,5
Minority acquisitions,5,,2017,8,,,
Mergers,5,,2018,4,,,
Missing deal value,21,,2019,5,,,
Missing/undisclosed acquirer,0,,2020,3,,,
,,,,,,,
Bloomberg import: 8 files mapped to deal rows; 5 unmatched files retained in Financial_Import_Log and Financial_Long_Raw.,,,,,,,
Patent import: 8 Lens exports imported; 7 mapped to deal rows; AstraZeneca retained as unmatched raw data.,,,,,,,
Patent caution: citation values are raw forward-citation totals and export scopes must be harmonised before final DiD estimation.,,,,,,,
