Deal_ID,Relative_Year,Calendar_Year,Patent_Family_Count,Citation_Weighted_Output,Provisional_Classification,Provisional_Confidence,Initial_Group,screen_group,Completion_Year,Acquirer_Normalized,Target_Normalized,Acquirer_Raw,Target_Raw,Deal_Subtype_Level_3,Deal_Country_s,Deal_Value_USD_m,Financial_Currency,Multiple_Deal_Acquirer,dup_drop,eligible_strict,eligible_broad,Post_Excluding_t0,is_t0,Innovation_Deal,Treatment_x_Post,n_pre,n_post,preferred,minimal,balanced,in_strict_group
TRT-0001,-3,2017,,,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2020,les laboratoires servier,symphogen a s,Les Laboratoires Servier SAS,Symphogen A/S,100% Acquisition,Denmark,,,No,False,True,True,0,0,1.0,0.0,0,0,False,False,False,True
TRT-0001,-2,2018,,,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2020,les laboratoires servier,symphogen a s,Les Laboratoires Servier SAS,Symphogen A/S,100% Acquisition,Denmark,,,No,False,True,True,0,0,1.0,0.0,0,0,False,False,False,True
TRT-0001,-1,2019,,,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2020,les laboratoires servier,symphogen a s,Les Laboratoires Servier SAS,Symphogen A/S,100% Acquisition,Denmark,,,No,False,True,True,0,0,1.0,0.0,0,0,False,False,False,True
TRT-0001,0,2020,,,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2020,les laboratoires servier,symphogen a s,Les Laboratoires Servier SAS,Symphogen A/S,100% Acquisition,Denmark,,,No,False,True,True,0,1,1.0,0.0,0,0,False,False,False,True
TRT-0001,1,2021,,,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2020,les laboratoires servier,symphogen a s,Les Laboratoires Servier SAS,Symphogen A/S,100% Acquisition,Denmark,,,No,False,True,True,1,0,1.0,1.0,0,0,False,False,False,True
TRT-0001,2,2022,,,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2020,les laboratoires servier,symphogen a s,Les Laboratoires Servier SAS,Symphogen A/S,100% Acquisition,Denmark,,,No,False,True,True,1,0,1.0,1.0,0,0,False,False,False,True
TRT-0001,3,2023,,,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2020,les laboratoires servier,symphogen a s,Les Laboratoires Servier SAS,Symphogen A/S,100% Acquisition,Denmark,,,No,False,True,True,1,0,1.0,1.0,0,0,False,False,False,True
TRT-0002,-3,2017,,,Borderline/mixed motive,Low (screen-text conflict),Candidate treatment group,Innovation-driven (candidate screen),2020,towa pharmaceutical,pensa investments s l,Towa Pharmaceutical Co Ltd,"Pensa Investments, S.L.",100% Acquisition,Spain,354.0,,No,False,True,True,0,0,,,0,0,False,False,False,False
TRT-0002,-2,2018,,,Borderline/mixed motive,Low (screen-text conflict),Candidate treatment group,Innovation-driven (candidate screen),2020,towa pharmaceutical,pensa investments s l,Towa Pharmaceutical Co Ltd,"Pensa Investments, S.L.",100% Acquisition,Spain,354.0,,No,False,True,True,0,0,,,0,0,False,False,False,False
TRT-0002,-1,2019,,,Borderline/mixed motive,Low (screen-text conflict),Candidate treatment group,Innovation-driven (candidate screen),2020,towa pharmaceutical,pensa investments s l,Towa Pharmaceutical Co Ltd,"Pensa Investments, S.L.",100% Acquisition,Spain,354.0,,No,False,True,True,0,0,,,0,0,False,False,False,False
TRT-0002,0,2020,,,Borderline/mixed motive,Low (screen-text conflict),Candidate treatment group,Innovation-driven (candidate screen),2020,towa pharmaceutical,pensa investments s l,Towa Pharmaceutical Co Ltd,"Pensa Investments, S.L.",100% Acquisition,Spain,354.0,,No,False,True,True,0,1,,,0,0,False,False,False,False
TRT-0002,1,2021,,,Borderline/mixed motive,Low (screen-text conflict),Candidate treatment group,Innovation-driven (candidate screen),2020,towa pharmaceutical,pensa investments s l,Towa Pharmaceutical Co Ltd,"Pensa Investments, S.L.",100% Acquisition,Spain,354.0,,No,False,True,True,1,0,,,0,0,False,False,False,False
TRT-0002,2,2022,,,Borderline/mixed motive,Low (screen-text conflict),Candidate treatment group,Innovation-driven (candidate screen),2020,towa pharmaceutical,pensa investments s l,Towa Pharmaceutical Co Ltd,"Pensa Investments, S.L.",100% Acquisition,Spain,354.0,,No,False,True,True,1,0,,,0,0,False,False,False,False
TRT-0002,3,2023,,,Borderline/mixed motive,Low (screen-text conflict),Candidate treatment group,Innovation-driven (candidate screen),2020,towa pharmaceutical,pensa investments s l,Towa Pharmaceutical Co Ltd,"Pensa Investments, S.L.",100% Acquisition,Spain,354.0,,No,False,True,True,1,0,,,0,0,False,False,False,False
TRT-0003,-3,2016,,,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2019,pfizer,therachon,Pfizer Inc,Therachon AG (Inactive),100% Acquisition,Switzerland,810.0,,No,False,True,True,0,0,1.0,0.0,0,0,False,False,False,True
TRT-0003,-2,2017,,,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2019,pfizer,therachon,Pfizer Inc,Therachon AG (Inactive),100% Acquisition,Switzerland,810.0,,No,False,True,True,0,0,1.0,0.0,0,0,False,False,False,True
TRT-0003,-1,2018,,,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2019,pfizer,therachon,Pfizer Inc,Therachon AG (Inactive),100% Acquisition,Switzerland,810.0,,No,False,True,True,0,0,1.0,0.0,0,0,False,False,False,True
TRT-0003,0,2019,,,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2019,pfizer,therachon,Pfizer Inc,Therachon AG (Inactive),100% Acquisition,Switzerland,810.0,,No,False,True,True,0,1,1.0,0.0,0,0,False,False,False,True
TRT-0003,1,2020,,,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2019,pfizer,therachon,Pfizer Inc,Therachon AG (Inactive),100% Acquisition,Switzerland,810.0,,No,False,True,True,1,0,1.0,1.0,0,0,False,False,False,True
TRT-0003,2,2021,,,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2019,pfizer,therachon,Pfizer Inc,Therachon AG (Inactive),100% Acquisition,Switzerland,810.0,,No,False,True,True,1,0,1.0,1.0,0,0,False,False,False,True
TRT-0003,3,2022,,,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2019,pfizer,therachon,Pfizer Inc,Therachon AG (Inactive),100% Acquisition,Switzerland,810.0,,No,False,True,True,1,0,1.0,1.0,0,0,False,False,False,True
TRT-0004,-3,2016,,,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2019,gyroscope therapeutics,orbit biomedical gyroscope therapeutics,Gyroscope Therapeutics Holdings Plc,Orbit Biomedical Inc; Gyroscope Therapeutics Holdings Plc,,"United Kingdom , United States",,,No,False,False,True,0,0,1.0,0.0,0,0,False,False,False,True
TRT-0004,-2,2017,,,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2019,gyroscope therapeutics,orbit biomedical gyroscope therapeutics,Gyroscope Therapeutics Holdings Plc,Orbit Biomedical Inc; Gyroscope Therapeutics Holdings Plc,,"United Kingdom , United States",,,No,False,False,True,0,0,1.0,0.0,0,0,False,False,False,True
TRT-0004,-1,2018,,,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2019,gyroscope therapeutics,orbit biomedical gyroscope therapeutics,Gyroscope Therapeutics Holdings Plc,Orbit Biomedical Inc; Gyroscope Therapeutics Holdings Plc,,"United Kingdom , United States",,,No,False,False,True,0,0,1.0,0.0,0,0,False,False,False,True
TRT-0004,0,2019,,,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2019,gyroscope therapeutics,orbit biomedical gyroscope therapeutics,Gyroscope Therapeutics Holdings Plc,Orbit Biomedical Inc; Gyroscope Therapeutics Holdings Plc,,"United Kingdom , United States",,,No,False,False,True,0,1,1.0,0.0,0,0,False,False,False,True
TRT-0004,1,2020,,,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2019,gyroscope therapeutics,orbit biomedical gyroscope therapeutics,Gyroscope Therapeutics Holdings Plc,Orbit Biomedical Inc; Gyroscope Therapeutics Holdings Plc,,"United Kingdom , United States",,,No,False,False,True,1,0,1.0,1.0,0,0,False,False,False,True
