Deal_ID,Relative_Year,Calendar_Year,Patent_Family_Count,Citation_Weighted_Output,Provisional_Classification,Provisional_Confidence,Initial_Group,screen_group,Completion_Year,Acquirer_Normalized,Target_Normalized,Acquirer_Raw,Target_Raw,Deal_Subtype_Level_3,Deal_Country_s,Deal_Value_USD_m,Financial_Currency,Multiple_Deal_Acquirer,dup_drop,eligible_strict,eligible_broad,Post_Excluding_t0,is_t0,Innovation_Deal,Treatment_x_Post,n_pre,n_post,preferred,minimal,balanced,in_strict_group
TRT-0010,-3,2015,15.0,9.0,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2018,sanofi,ablynx,Sanofi,Ablynx NV,100% Acquisition,Belgium,4847.0,EUR,No,False,True,True,0,0,1.0,0.0,3,3,True,True,True,True
TRT-0010,-2,2016,28.0,4.0,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2018,sanofi,ablynx,Sanofi,Ablynx NV,100% Acquisition,Belgium,4847.0,EUR,No,False,True,True,0,0,1.0,0.0,3,3,True,True,True,True
TRT-0010,-1,2017,36.0,0.0,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2018,sanofi,ablynx,Sanofi,Ablynx NV,100% Acquisition,Belgium,4847.0,EUR,No,False,True,True,0,0,1.0,0.0,3,3,True,True,True,True
TRT-0010,0,2018,38.0,1.0,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2018,sanofi,ablynx,Sanofi,Ablynx NV,100% Acquisition,Belgium,4847.0,EUR,No,False,True,True,0,1,1.0,0.0,3,3,True,True,True,True
TRT-0010,1,2019,42.0,4.0,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2018,sanofi,ablynx,Sanofi,Ablynx NV,100% Acquisition,Belgium,4847.0,EUR,No,False,True,True,1,0,1.0,1.0,3,3,True,True,True,True
TRT-0010,2,2020,20.0,1.0,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2018,sanofi,ablynx,Sanofi,Ablynx NV,100% Acquisition,Belgium,4847.0,EUR,No,False,True,True,1,0,1.0,1.0,3,3,True,True,True,True
TRT-0010,3,2021,13.0,0.0,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2018,sanofi,ablynx,Sanofi,Ablynx NV,100% Acquisition,Belgium,4847.0,EUR,No,False,True,True,1,0,1.0,1.0,3,3,True,True,True,True
TRT-0028,0,2015,2.0,3.0,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2015,chinook therapeutics,bionovion b v,Chinook Therapeutics Inc,BioNovion Holding B.V.,100% Acquisition,The Netherlands,32.0,EUR,No,False,True,True,0,1,1.0,0.0,0,3,False,False,False,True
TRT-0028,1,2016,1.0,0.0,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2015,chinook therapeutics,bionovion b v,Chinook Therapeutics Inc,BioNovion Holding B.V.,100% Acquisition,The Netherlands,32.0,EUR,No,False,True,True,1,0,1.0,1.0,0,3,False,False,False,True
TRT-0028,2,2017,2.0,0.0,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2015,chinook therapeutics,bionovion b v,Chinook Therapeutics Inc,BioNovion Holding B.V.,100% Acquisition,The Netherlands,32.0,EUR,No,False,True,True,1,0,1.0,1.0,0,3,False,False,False,True
TRT-0028,3,2018,1.0,0.0,Innovation-driven,Medium (screen + text agree),Candidate treatment group,Innovation-driven (candidate screen),2015,chinook therapeutics,bionovion b v,Chinook Therapeutics Inc,BioNovion Holding B.V.,100% Acquisition,The Netherlands,32.0,EUR,No,False,True,True,1,0,1.0,1.0,0,3,False,False,False,True
TRT-0034,-3,2011,2.0,8.0,Borderline/mixed motive,Low (screen-text conflict),Candidate treatment group,Innovation-driven (candidate screen),2014,nicox,doliage,Nicox SA,Doliage,100% Acquisition,France,6.0,EUR,No,False,True,True,0,0,,,3,3,True,True,True,False
TRT-0034,-2,2012,3.0,7.0,Borderline/mixed motive,Low (screen-text conflict),Candidate treatment group,Innovation-driven (candidate screen),2014,nicox,doliage,Nicox SA,Doliage,100% Acquisition,France,6.0,EUR,No,False,True,True,0,0,,,3,3,True,True,True,False
TRT-0034,-1,2013,4.0,1.0,Borderline/mixed motive,Low (screen-text conflict),Candidate treatment group,Innovation-driven (candidate screen),2014,nicox,doliage,Nicox SA,Doliage,100% Acquisition,France,6.0,EUR,No,False,True,True,0,0,,,3,3,True,True,True,False
