Deal_ID,Provisional_Classification,Acquirer_Normalized,Completion_Year,dup_drop,eligible_strict,fin_pre,fin_post,pat_pre,pat_post,in_H2_preferred,in_H1_preferred
TRT-0001,Innovation-driven,les laboratoires servier,2020,False,True,0,0,0,0,False,False
TRT-0002,Borderline/mixed motive,towa pharmaceutical,2020,False,True,0,0,0,0,False,False
TRT-0003,Innovation-driven,pfizer,2019,False,True,0,0,0,0,False,False
TRT-0004,Innovation-driven,gyroscope therapeutics,2019,False,False,0,0,0,0,False,False
TRT-0005,Innovation-driven,trinetx,2019,False,True,0,0,0,0,False,False
TRT-0006,Innovation-driven,bravo bidco,2019,False,True,0,0,0,0,False,False
TRT-0007,Borderline/mixed motive,aphria,2019,False,False,0,0,0,0,False,False
TRT-0008,Innovation-driven,ingenza,2018,False,False,0,0,0,0,False,False
TRT-0009,Innovation-driven,telix pharmaceuticals,2018,False,True,0,0,0,0,False,False
TRT-0010,Innovation-driven,sanofi,2018,False,True,3,3,3,3,True,True
TRT-0011,Borderline/mixed motive,takeda pharmaceutical,2018,False,True,0,0,0,0,False,False
TRT-0012,Innovation-driven,impilo ab,2017,False,False,0,0,0,0,False,False
TRT-0013,Innovation-driven,kuur therapeutics,2017,False,True,0,0,0,0,False,False
TRT-0014,Innovation-driven,astellas pharma,2017,False,True,0,0,0,0,False,False
TRT-0015,Innovation-driven,boston scientific,2017,False,True,0,0,0,0,False,False
TRT-0016,Innovation-driven,biolinerx,2017,False,True,0,0,0,0,False,False
TRT-0017,Innovation-driven,mediolanum farmaceutici,2017,False,False,0,0,0,0,False,False
TRT-0018,Borderline/mixed motive,agile pharma,2017,False,True,0,0,0,0,False,False
TRT-0019,Innovation-driven,calliditas therapeutics france,2017,False,False,0,0,0,0,False,False
TRT-0020,Innovation-driven,biogaia ab,2016,False,False,0,0,0,0,False,False
TRT-0021,Innovation-driven,martindale pharma,2016,False,False,0,0,0,0,False,False
TRT-0022,Innovation-driven,kalvista pharmaceuticals,2016,False,True,0,0,0,0,False,False
TRT-0023,Borderline/mixed motive,albany molecular research,2016,False,True,0,0,0,0,False,False
TRT-0024,Innovation-driven,vectura,2016,False,True,0,0,0,0,False,False
TRT-0025,Innovation-driven,vectura,2016,False,False,0,0,0,0,False,False
TRT-0026,Innovation-driven,relief therapeutics sonnet biotherapeutics ch,2016,False,False,0,0,0,0,False,False
TRT-0027,Innovation-driven,biogaia ab,2015,False,False,0,0,0,0,False,False
TRT-0028,Innovation-driven,chinook therapeutics,2015,False,True,1,3,0,3,False,False
TRT-0029,Innovation-driven,stallergenes greer,2015,False,False,0,0,0,0,False,False
TRT-0030,Borderline/mixed motive,stada arzneimittel,2015,False,True,0,0,0,0,False,False
TRT-0031,Innovation-driven,tigenix,2015,False,False,0,0,0,0,False,False
TRT-0032,Innovation-driven,auspex pharmaceuticals,2015,False,True,0,0,0,0,False,False
TRT-0033,Innovation-driven,cadila pharmaceuticals sweden ab,2014,False,True,0,0,0,0,False,False
TRT-0034,Borderline/mixed motive,nicox,2014,False,True,3,3,3,3,True,True
TRT-0035,Innovation-driven,productlife,2014,False,False,0,0,0,0,False,False
TRT-0036,Innovation-driven,correvio pharma,2013,False,True,0,0,0,0,False,False
TRT-0037,Innovation-driven,abzena uk,2013,False,True,0,0,0,0,False,False
TRT-0038,Innovation-driven,gsk,2013,False,False,3,3,2,3,True,True
TRT-0039,Innovation-driven,eurofins scientific,2013,False,False,3,3,0,0,True,False
TRT-0040,Borderline/mixed motive,alvogen,2012,False,False,0,0,0,0,False,False
TRT-0041,Innovation-driven,enara,2012,False,False,0,0,0,0,False,False
TRT-0042,Innovation-driven,agilent technologies,2012,False,True,0,0,0,0,False,False
TRT-0043,Innovation-driven,biodexa ltd,2014,False,False,3,3,0,0,True,False
TRT-0044,Innovation-driven,esteve pharmaceuticals sa,2020,True,False,0,0,0,0,False,False
TRT-0045,Innovation-driven,shire plc inactive,2013,False,False,3,3,2,3,True,True
CTL-0001,Alternative rationale,emmes,2020,False,True,0,0,0,0,False,False
CTL-0002,Borderline/mixed motive,veraxa biotech,2020,False,True,0,0,0,0,False,False
CTL-0003,Alternative rationale,link medical research,2020,False,True,0,0,0,0,False,False
CTL-0004,Borderline/mixed motive,mendus ab,2020,False,True,0,0,0,0,False,False
CTL-0005,Borderline/mixed motive,ucb,2020,False,True,3,3,3,3,True,True
CTL-0006,Borderline/mixed motive,revvity,2020,False,True,0,0,0,0,False,False
CTL-0007,Borderline/mixed motive,travere therapeutics,2020,False,True,0,0,0,0,False,False
CTL-0008,Alternative rationale,stada arzneimittel,2020,False,True,0,0,0,0,False,False
CTL-0009,Alternative rationale,coc farmaceutici,2020,False,True,0,0,0,0,False,False
CTL-0010,Alternative rationale,,2020,False,False,0,0,0,0,False,False
CTL-0011,Borderline/mixed motive,bayer,2020,False,True,0,0,0,0,False,False
CTL-0012,Borderline/mixed motive,jrh asi,2020,False,False,0,0,0,0,False,False
CTL-0013,Borderline/mixed motive,kreditanstalt fur wiederaufbau,2020,False,False,0,0,0,0,False,False
CTL-0014,Alternative rationale,bbi,2020,False,True,0,0,0,0,False,False
CTL-0015,Borderline/mixed motive,sygnature discovery,2020,False,True,0,0,0,0,False,False
CTL-0016,Borderline/mixed motive,novavax,2020,False,True,0,0,0,0,False,False
CTL-0017,Alternative rationale,serb,2020,False,True,0,0,0,0,False,False
CTL-0018,Borderline/mixed motive,mediolanum farmaceutici,2020,False,True,0,0,0,0,False,False
CTL-0019,Borderline/mixed motive,ascenion ifb innovationsstarter innovationsstarter hamburg,2020,False,True,0,0,0,0,False,False
CTL-0020,Borderline/mixed motive,asklepios biopharmaceutical,2020,False,True,0,0,0,0,False,False
CTL-0021,Borderline/mixed motive,astellas pharma europe,2020,False,True,0,0,0,0,False,False
CTL-0022,Borderline/mixed motive,les laboratoires servier,2020,False,True,0,0,0,0,False,False
CTL-0023,Borderline/mixed motive,ovoca bio,2020,False,False,0,0,0,0,False,False
CTL-0024,Alternative rationale,norgine,2020,False,True,0,0,0,0,False,False
