file_path,workbook,group,sheet,n_rows,n_cols,inferred_source,intended_use,interim_csv
/home/user/claude/pharma_ma_did/data/raw/Treatment_Group_DiD_Data_Workbook.xlsx,Treatment_Group_DiD_Data_Workbook.xlsx,treatment,README,37,2,workbook documentation,documentation / dropdown lists,data/interim/treatment__README.csv
/home/user/claude/pharma_ma_did/data/raw/Treatment_Group_DiD_Data_Workbook.xlsx,Treatment_Group_DiD_Data_Workbook.xlsx,treatment,Summary,17,8,workbook documentation,documentation / dropdown lists,data/interim/treatment__Summary.csv
/home/user/claude/pharma_ma_did/data/raw/Treatment_Group_DiD_Data_Workbook.xlsx,Treatment_Group_DiD_Data_Workbook.xlsx,treatment,Deal_Master_Wide,45,165,GlobalData,"master deal table, one row per deal, event-window data",data/interim/treatment__Deal_Master_Wide.csv
/home/user/claude/pharma_ma_did/data/raw/Treatment_Group_DiD_Data_Workbook.xlsx,Treatment_Group_DiD_Data_Workbook.xlsx,treatment,Panel_DiD,315,31,workbook documentation,pre-reshaped deal-year panel (formula-derived),data/interim/treatment__Panel_DiD.csv
/home/user/claude/pharma_ma_did/data/raw/Treatment_Group_DiD_Data_Workbook.xlsx,Treatment_Group_DiD_Data_Workbook.xlsx,treatment,Variable_Dictionary,23,8,workbook documentation,documentation / dropdown lists,data/interim/treatment__Variable_Dictionary.csv
/home/user/claude/pharma_ma_did/data/raw/Treatment_Group_DiD_Data_Workbook.xlsx,Treatment_Group_DiD_Data_Workbook.xlsx,treatment,Lists,8,13,workbook documentation,documentation / dropdown lists,data/interim/treatment__Lists.csv
/home/user/claude/pharma_ma_did/data/raw/Treatment_Group_DiD_Data_Workbook.xlsx,Treatment_Group_DiD_Data_Workbook.xlsx,treatment,Financial_Import_Log,13,11,Bloomberg,Bloomberg file-to-deal mapping log,data/interim/treatment__Financial_Import_Log.csv
/home/user/claude/pharma_ma_did/data/raw/Treatment_Group_DiD_Data_Workbook.xlsx,Treatment_Group_DiD_Data_Workbook.xlsx,treatment,Financial_Long_Raw,207,16,Bloomberg,Bloomberg firm-year historical actuals (long),data/interim/treatment__Financial_Long_Raw.csv
/home/user/claude/pharma_ma_did/data/raw/Treatment_Group_DiD_Data_Workbook.xlsx,Treatment_Group_DiD_Data_Workbook.xlsx,treatment,Patent_Import_Log,8,15,Lens.org,Lens file-to-deal mapping log,data/interim/treatment__Patent_Import_Log.csv
/home/user/claude/pharma_ma_did/data/raw/Treatment_Group_DiD_Data_Workbook.xlsx,Treatment_Group_DiD_Data_Workbook.xlsx,treatment,Patent_Year_Summary,75,12,Lens.org,patent families & citations by priority year,data/interim/treatment__Patent_Year_Summary.csv
/home/user/claude/pharma_ma_did/data/raw/Treatment_Group_DiD_Data_Workbook.xlsx,Treatment_Group_DiD_Data_Workbook.xlsx,treatment,Patent_Family_Long,1176,21,Lens.org,one row per deduplicated simple patent family,data/interim/treatment__Patent_Family_Long.csv
/home/user/claude/pharma_ma_did/data/raw/Control_Group_DiD_Data_Workbook.xlsx,Control_Group_DiD_Data_Workbook.xlsx,control,README,34,2,workbook documentation,documentation / dropdown lists,data/interim/control__README.csv
/home/user/claude/pharma_ma_did/data/raw/Control_Group_DiD_Data_Workbook.xlsx,Control_Group_DiD_Data_Workbook.xlsx,control,Summary,31,8,workbook documentation,documentation / dropdown lists,data/interim/control__Summary.csv
/home/user/claude/pharma_ma_did/data/raw/Control_Group_DiD_Data_Workbook.xlsx,Control_Group_DiD_Data_Workbook.xlsx,control,Deal_Master_Wide,306,165,GlobalData,"master deal table, one row per deal, event-window data",data/interim/control__Deal_Master_Wide.csv
/home/user/claude/pharma_ma_did/data/raw/Control_Group_DiD_Data_Workbook.xlsx,Control_Group_DiD_Data_Workbook.xlsx,control,Panel_DiD,2142,31,workbook documentation,pre-reshaped deal-year panel (formula-derived),data/interim/control__Panel_DiD.csv
/home/user/claude/pharma_ma_did/data/raw/Control_Group_DiD_Data_Workbook.xlsx,Control_Group_DiD_Data_Workbook.xlsx,control,Variable_Dictionary,23,8,workbook documentation,documentation / dropdown lists,data/interim/control__Variable_Dictionary.csv
/home/user/claude/pharma_ma_did/data/raw/Control_Group_DiD_Data_Workbook.xlsx,Control_Group_DiD_Data_Workbook.xlsx,control,Lists,8,13,workbook documentation,documentation / dropdown lists,data/interim/control__Lists.csv
/home/user/claude/pharma_ma_did/data/raw/Control_Group_DiD_Data_Workbook.xlsx,Control_Group_DiD_Data_Workbook.xlsx,control,Financial_Import_Log,20,11,Bloomberg,Bloomberg file-to-deal mapping log,data/interim/control__Financial_Import_Log.csv
/home/user/claude/pharma_ma_did/data/raw/Control_Group_DiD_Data_Workbook.xlsx,Control_Group_DiD_Data_Workbook.xlsx,control,Financial_Long_Raw,308,16,Bloomberg,Bloomberg firm-year historical actuals (long),data/interim/control__Financial_Long_Raw.csv
/home/user/claude/pharma_ma_did/data/raw/Control_Group_DiD_Data_Workbook.xlsx,Control_Group_DiD_Data_Workbook.xlsx,control,Patent_Import_Log,23,15,Lens.org,Lens file-to-deal mapping log,data/interim/control__Patent_Import_Log.csv
/home/user/claude/pharma_ma_did/data/raw/Control_Group_DiD_Data_Workbook.xlsx,Control_Group_DiD_Data_Workbook.xlsx,control,Patent_Year_Summary,228,12,Lens.org,patent families & citations by priority year,data/interim/control__Patent_Year_Summary.csv
/home/user/claude/pharma_ma_did/data/raw/Control_Group_DiD_Data_Workbook.xlsx,Control_Group_DiD_Data_Workbook.xlsx,control,Patent_Family_Long,743,21,Lens.org,one row per deduplicated simple patent family,data/interim/control__Patent_Family_Long.csv
