Acquirer_Normalized,n_deals_in_universe
abliva ab,2
agile pharma,2
agilent technologies,2
albany molecular research,2
alvogen,3
amdipharm mercury,3
aphria,2
astellas pharma,3
augment investments,3
auspex pharmaceuticals,2
bayer,2
biogaia ab,4
biogen,3
biolinerx,2
boehringer ingelheim international,3
boston scientific,3
bravo bidco,2
cadila pharmaceuticals sweden ab,2
calliditas therapeutics france,2
charles river laboratories international,4
chinook therapeutics,2
clinigen,2
correvio pharma,2
dermapharm,3
enara,2
eurofins scientific,3
ever neuro pharma,2
evotec,2
f hoffmann la roche,2
gsk,2
gyroscope therapeutics,2
impilo ab,2
incanthera,2
ingenza,2
kalvista pharmaceuticals,2
klaria pharma ab,2
les laboratoires servier,2
martindale pharma,2
medigene,2
mediolanum farmaceutici,2
neuraxpharm uk,2
nicox,2
niox,2
perrigo,2
pfizer,3
productlife,2
quantum pharmaceutical,2
recordati s p a,2
relief therapeutics sonnet biotherapeutics ch,2
revvity,2
sanofi,2
stada arzneimittel,3
stallergenes greer,2
takeda pharmaceutical,3
telix pharmaceuticals,2
tigenix,2
towa pharmaceutical,2
trinetx,2
undisclosed,8
vectura,4
zentiva,2
