panel,event_time,beta,se,ci_low,ci_high,joint_pretrend_p
H2_ROA,-3,-33.1001,18.2386,-73.7383,7.538,0.1786716257531345
H2_ROA,-2,0.6372,12.6557,-27.5614,28.8358,0.1786716257531345
H2_ROA,-1,0.0,0.0,0.0,0.0,0.1786716257531345
H2_ROA,0,2.4042,20.509,-43.2927,48.101,0.1786716257531345
H2_ROA,1,17.1643,20.0405,-27.4887,61.8173,0.1786716257531345
H2_ROA,2,15.0871,15.5325,-19.5214,49.6957,0.1786716257531345
H2_ROA,3,2.6548,13.4521,-27.3184,32.6279,0.1786716257531345
H1_Patents,-3,-19.358,3.2142,-26.7698,-11.9461,1.2241090426873328e-15
H1_Patents,-2,-5.1968,2.7695,-11.5832,1.1897,1.2241090426873328e-15
H1_Patents,-1,0.0,0.0,0.0,0.0,1.2241090426873328e-15
H1_Patents,0,7.0735,2.5095,1.2866,12.8604,1.2241090426873328e-15
H1_Patents,1,2.098,2.7036,-4.1367,8.3326,1.2241090426873328e-15
H1_Patents,2,-7.0856,4.2142,-16.8035,2.6322,1.2241090426873328e-15
H1_Patents,3,-7.3436,7.067,-23.6401,8.9529,1.2241090426873328e-15
