econ_key_date,member_deal_ids,source_workbooks,n_rows,acquirer,target,completion_date,completion_year,subtype2,subtype3,ctrl_transfer,fin_status,pat_status,deal_event_id,Final_Classification,Classification_Confidence,Innovation_or_Commercial_Asset,Classification_Justification,Eligibility,Exclusion_Reason,InnovationDeal,is_primary_innovation,is_alternative,acquirer_group
abbey trading intrapharm laboratories||peckforton inactive||2014-08-11,CTL-0252,control,1,"Abbey Pharma (trading as Intrapharm Laboratories, Ltd.)",Peckforton Pharmaceuticals Ltd (Inactive),2014-08-11,2014,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-1260F95F,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,"Abbey Pharma (trading as Intrapharm Laboratories, Ltd.)"
abbott laboratories||kalo internacional s l u corporacion farmaceutica recalcine||2014-09-26,CTL-0256,control,1,Abbott Laboratories,Kalo Pharma Internacional S.L.U.; Corporacion Farmaceutica Recalcine,2014-09-26,2014,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-358F2FDC,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,Abbott Laboratories
abbvie||allergan||2020-05-08,CTL-0048,control,1,AbbVie Inc,Allergan Ltd,2020-05-08,2020,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-B00C081C,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,AbbVie Inc
abingdon health||serascience||2014-10-13,CTL-0245,control,1,Abingdon Health PLC,Serascience Limited,2014-10-13,2014,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-24DBF888,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,Abingdon Health PLC
abliva||isomerase therapeutics||2016-01-14,CTL-0182,control,1,Abliva AB,Isomerase Therapeutics Ltd,2016-01-14,2016,Acquisition,Minority Acquisition,Exclude - minority,Not collected,Not collected,EVT-3FEAF0A1,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Ineligible,Minority stake — no control transfer,0,0,0,Abliva AB
abliva||isomerase therapeutics||2016-08-15,CTL-0183,control,1,Abliva AB,Isomerase Therapeutics Ltd,2016-08-15,2016,Acquisition,Minority Acquisition,Exclude - minority,Not collected,Not collected,EVT-79A4F7B1,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Ineligible,Minority stake — no control transfer,0,0,0,Abliva AB
abzena uk||antitope||2013-07-26,TRT-0037,treatment,1,Abzena UK Ltd,Antitope Ltd,2013-07-26,2013,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-568C8F3C,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Abzena UK Ltd
actavis formerly purepac||akarna therapeutics||2016-09-20,CTL-0150,control,1,"Actavis, Inc. (Formerly Purepac Pharmaceutical, Co.)",Akarna Therapeutics Ltd,2016-09-20,2016,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-2F171571,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,"Actavis, Inc. (Formerly Purepac Pharmaceutical, Co.)"
actinogen medical||corticrine||2014-12-01,CTL-0250,control,1,Actinogen Medical Limited,Corticrine Ltd,2014-12-01,2014,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-0A07C060,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Actinogen Medical Limited
active assistance||neural pathways uk||2012-02-09,CTL-0305,control,1,Active Assistance,Neural Pathways (UK) Ltd.,2012-02-09,2012,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-C20F8EAD,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,Active Assistance
advanced accelerator applications||catalana de dispensacion s a||2013-01-29,CTL-0292,control,1,Advanced Accelerator Applications SA,Catalana De Dispensacion S.A.,2013-01-29,2013,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-7ABFF9D1,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Advanced Accelerator Applications SA
adverum biotechnologies||annapurna therapeutics inactive||2016-05-12,CTL-0178,control,1,Adverum Biotechnologies,Annapurna Therapeutics SAS (Inactive),2016-05-12,2016,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-614A9A71,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Adverum Biotechnologies
agenus||agenus switzerland||2014-02-13,CTL-0271,control,1,Agenus Inc,Agenus Switzerland Inc,2014-02-13,2014,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-B35860F5,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Agenus Inc
agilent technologies||dako a s||2012-06-21,TRT-0042,treatment,1,"Agilent Technologies, Inc.",Dako A/S,2012-06-21,2012,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-B79F34F2,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,"Agilent Technologies, Inc."
agile||generis||2017-04-28,TRT-0018,treatment,1,Agile Pharma BV,Generis Pharmaceuticals SA,2017-04-28,2017,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-517168EE,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Agile Pharma BV
albany molecular research||euticals||2016-07-11,TRT-0023,treatment,1,"Albany Molecular Research, Inc.",Euticals SpA,2016-07-11,2016,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-9B2CF32C,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,"Albany Molecular Research, Inc."
alexion nordics||wilson therapeutics||2018-06-30,CTL-0089,control,1,Alexion Pharma Nordics AB,Wilson Therapeutics AB,2018-06-30,2018,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-1536E386,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Alexion Pharma Nordics AB
almac||bioclin research laboratories||2017-11-01,CTL-0106,control,1,Almac Group Ltd,Bioclin Research Laboratories Ltd,2017-11-01,2017,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-A6F7F2A2,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Almac Group Ltd
almi invest karo healthcare||tanomed||2015-04-27,CTL-0221,control,1,Almi Invest AB; Karo Healthcare AB,Tanomed AB,2015-04-27,2015,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-552E6925,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Almi Invest AB; Karo Healthcare AB
alvogen||labormed||2012-12-31,TRT-0040,treatment,1,Alvogen Inc,LaborMed Pharma SA,2012-12-31,2012,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-0698B835,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,Alvogen Inc
alvogen||omega bittner||2017-08-25,CTL-0127,control,1,Alvogen Inc,Omega Bittner,2017-08-25,2017,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-FA73A04F,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Alvogen Inc
amarox||tarbis farma sl||2019-01-02,CTL-0063,control,1,Amarox Ltd,Tarbis Farma SL,2019-01-02,2019,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-ADDA6FEE,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Amarox Ltd
