deal_event_id,member_deal_ids,acquirer,target,acquirer_group,completion_year,Final_Classification,Eligibility,ambiguous_flag
EVT-1260F95F,CTL-0252,"Abbey Pharma (trading as Intrapharm Laboratories, Ltd.)",Peckforton Pharmaceuticals Ltd (Inactive),"Abbey Pharma (trading as Intrapharm Laboratories, Ltd.)",2014,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-358F2FDC,CTL-0256,Abbott Laboratories,Kalo Pharma Internacional S.L.U.; Corporacion Farmaceutica Recalcine,Abbott Laboratories,2014,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-B00C081C,CTL-0048,AbbVie Inc,Allergan Ltd,AbbVie Inc,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-24DBF888,CTL-0245,Abingdon Health PLC,Serascience Limited,Abingdon Health PLC,2014,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-3FEAF0A1,CTL-0182,Abliva AB,Isomerase Therapeutics Ltd,Abliva AB,2016,Insufficient evidence (not data-carrying),Ineligible,False
EVT-79A4F7B1,CTL-0183,Abliva AB,Isomerase Therapeutics Ltd,Abliva AB,2016,Insufficient evidence (not data-carrying),Ineligible,False
EVT-568C8F3C,TRT-0037,Abzena UK Ltd,Antitope Ltd,Abzena UK Ltd,2013,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-2F171571,CTL-0150,"Actavis, Inc. (Formerly Purepac Pharmaceutical, Co.)",Akarna Therapeutics Ltd,"Actavis, Inc. (Formerly Purepac Pharmaceutical, Co.)",2016,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-0A07C060,CTL-0250,Actinogen Medical Limited,Corticrine Ltd,Actinogen Medical Limited,2014,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-C20F8EAD,CTL-0305,Active Assistance,Neural Pathways (UK) Ltd.,Active Assistance,2012,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-7ABFF9D1,CTL-0292,Advanced Accelerator Applications SA,Catalana De Dispensacion S.A.,Advanced Accelerator Applications SA,2013,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-614A9A71,CTL-0178,Adverum Biotechnologies,Annapurna Therapeutics SAS (Inactive),Adverum Biotechnologies,2016,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-B35860F5,CTL-0271,Agenus Inc,Agenus Switzerland Inc,Agenus Inc,2014,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-B79F34F2,TRT-0042,"Agilent Technologies, Inc.",Dako A/S,"Agilent Technologies, Inc.",2012,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-517168EE,TRT-0018,Agile Pharma BV,Generis Pharmaceuticals SA,Agile Pharma BV,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-9B2CF32C,TRT-0023,"Albany Molecular Research, Inc.",Euticals SpA,"Albany Molecular Research, Inc.",2016,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-1536E386,CTL-0089,Alexion Pharma Nordics AB,Wilson Therapeutics AB,Alexion Pharma Nordics AB,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-A6F7F2A2,CTL-0106,Almac Group Ltd,Bioclin Research Laboratories Ltd,Almac Group Ltd,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-552E6925,CTL-0221,Almi Invest AB; Karo Healthcare AB,Tanomed AB,Almi Invest AB; Karo Healthcare AB,2015,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-0698B835,TRT-0040,Alvogen Inc,LaborMed Pharma SA,Alvogen Inc,2012,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-FA73A04F,CTL-0127,Alvogen Inc,Omega Bittner,Alvogen Inc,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-ADDA6FEE,CTL-0063,Amarox Ltd,Tarbis Farma SL,Amarox Ltd,2019,Insufficient evidence (not data-carrying),Strict (100%),False
