deal_event_id,member_deal_ids,acquirer,target,company,src,Currency,Final_Classification,Classification_Confidence,Eligibility,InnovationDeal,is_primary_innovation,is_alternative,completion_year,calendar_year,RelativeYear,Revenue_m,Operating_Income_m,Net_Income_m,Total_Assets_m,Total_Debt_m,R_and_D_Expense_m,ROA_pct,Operating_Margin_pct,Leverage_pct,log_assets,leverage
EVT-01166516,TRT-0034,Nicox SA,Doliage,Nicox (ALCOX FP) - Standardized,treatment,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2014,2006,-8,,,,91.409,0.051000000000000004,,-34.7356,-276.8224,0.0558,4.515343941883757,0.0558
EVT-01166516,TRT-0034,Nicox SA,Doliage,Nicox (ALCOX FP) - Standardized,treatment,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2014,2007,-7,,,,189.461,0.028999999999999998,,-22.8889,-180.3977,0.0153,5.244183198592437,0.0153
EVT-01166516,TRT-0034,Nicox SA,Doliage,Nicox (ALCOX FP) - Standardized,treatment,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2014,2008,-6,,,,123.619,0.019,,-47.2001,-2356.1273,0.0154,4.817204254892471,0.0154
EVT-01166516,TRT-0034,Nicox SA,Doliage,Nicox (ALCOX FP) - Standardized,treatment,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2014,2009,-5,1.119,-56.251,-60.35,157.425,0.013000000000000001,46.014,-42.947,-5539.3208,0.0083,5.058949154374806,0.0083
EVT-01166516,TRT-0034,Nicox SA,Doliage,Nicox (ALCOX FP) - Standardized,treatment,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2014,2010,-4,7.423,-26.705,-43.951,112.932,0.113,27.886,-32.5133,-592.7118,0.1001,4.726785867664651,0.1001
EVT-01166516,TRT-0034,Nicox SA,Doliage,Nicox (ALCOX FP) - Standardized,treatment,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2014,2011,-3,0.0,-13.184,-16.635,95.829,0.082,8.998,-15.9369,,0.0856,4.562565353155654,0.0856
EVT-01166516,TRT-0034,Nicox SA,Doliage,Nicox (ALCOX FP) - Standardized,treatment,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2014,2012,-2,7.614,-6.619,-10.247,84.147,0.157,6.471,-11.3871,-114.8805,0.1866,4.432565269377431,0.1866
EVT-01166516,TRT-0034,Nicox SA,Doliage,Nicox (ALCOX FP) - Standardized,treatment,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2014,2013,-1,0.436,-14.224,-18.145,72.178,0.152,3.685,-23.2145,-2537.844,0.2106,4.279135290324243,0.2106
EVT-01166516,TRT-0034,Nicox SA,Doliage,Nicox (ALCOX FP) - Standardized,treatment,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2014,2014,0,5.982,-20.921,-23.158,150.041,16.538,4.432,-20.8425,-360.5316,11.0223,5.010908590080839,11.0223
EVT-01166516,TRT-0034,Nicox SA,Doliage,Nicox (ALCOX FP) - Standardized,treatment,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2014,2015,1,0.067,-19.639,-27.939,163.348,3.941,6.159,-17.8302,-30931.3433,2.4126,5.095882894323518,2.4126
