src,deal_id,Company_or_Group,priority_year,patent_families,Coverage_Basis,citations,deal_event_id,completion_year,RelativeYear,acquirer,target,Final_Classification,Classification_Confidence,Eligibility,InnovationDeal,is_primary_innovation,is_alternative,member_deal_ids,asinh_families,acquirer_group,Post,treat,TreatPost
treatment,TRT-0034,Nicox,2011,2,Inferred from observed priority-year range,8,EVT-01166516,2014,-3,Nicox SA,Doliage,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0034,1.4436354751788103,Nicox SA,0,0,0
treatment,TRT-0034,Nicox,2012,3,Inferred from observed priority-year range,7,EVT-01166516,2014,-2,Nicox SA,Doliage,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0034,1.8184464592320668,Nicox SA,0,0,0
treatment,TRT-0034,Nicox,2013,4,Inferred from observed priority-year range,1,EVT-01166516,2014,-1,Nicox SA,Doliage,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0034,2.094712547261101,Nicox SA,0,0,0
treatment,TRT-0034,Nicox,2015,2,Inferred from observed priority-year range,0,EVT-01166516,2014,1,Nicox SA,Doliage,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0034,1.4436354751788103,Nicox SA,1,0,0
treatment,TRT-0034,Nicox,2016,1,Inferred from observed priority-year range,0,EVT-01166516,2014,2,Nicox SA,Doliage,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0034,0.881373587019543,Nicox SA,1,0,0
treatment,TRT-0034,Nicox,2017,0,Inferred from observed priority-year range,0,EVT-01166516,2014,3,Nicox SA,Doliage,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0034,0.0,Nicox SA,1,0,0
treatment,TRT-0010,Sanofi,2015,15,Explicit search range,9,EVT-09182F95,2018,-3,Sanofi,Ablynx NV,High-confidence innovation-driven,High,Strict (100%),1,1,0,TRT-0010,3.4023066454805946,Sanofi,0,1,0
treatment,TRT-0010,Sanofi,2016,28,Explicit search range,4,EVT-09182F95,2018,-2,Sanofi,Ablynx NV,High-confidence innovation-driven,High,Strict (100%),1,1,0,TRT-0010,4.025670415869822,Sanofi,0,1,0
treatment,TRT-0010,Sanofi,2017,36,Explicit search range,0,EVT-09182F95,2018,-1,Sanofi,Ablynx NV,High-confidence innovation-driven,High,Strict (100%),1,1,0,TRT-0010,4.276858964458208,Sanofi,0,1,0
treatment,TRT-0010,Sanofi,2019,42,Explicit search range,4,EVT-09182F95,2018,1,Sanofi,Ablynx NV,High-confidence innovation-driven,High,Strict (100%),1,1,0,TRT-0010,4.430958492080543,Sanofi,1,1,1
treatment,TRT-0010,Sanofi,2020,20,Explicit search range,1,EVT-09182F95,2018,2,Sanofi,Ablynx NV,High-confidence innovation-driven,High,Strict (100%),1,1,0,TRT-0010,3.6895038689889055,Sanofi,1,1,1
treatment,TRT-0010,Sanofi,2021,13,Explicit search range,0,EVT-09182F95,2018,3,Sanofi,Ablynx NV,High-confidence innovation-driven,High,Strict (100%),1,1,0,TRT-0010,3.2595725562629214,Sanofi,1,1,1
