deal_event_id,member_deal_ids,acquirer,target,company,src,Currency,Final_Classification,Classification_Confidence,Eligibility,InnovationDeal,is_primary_innovation,is_alternative,completion_year,calendar_year,RelativeYear,Revenue_m,Operating_Income_m,Net_Income_m,Total_Assets_m,Total_Debt_m,R_and_D_Expense_m,ROA_pct,Operating_Margin_pct,Leverage_pct,log_assets,leverage,acquirer_group,Post,treat,TreatPost
EVT-01166516,TRT-0034,Nicox SA,Doliage,Nicox (ALCOX FP) - Standardized,treatment,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2014,2011,-3,0.0,-13.184,-16.635,95.829,0.082,8.998,-15.9369,,0.0856,4.562565353155654,0.0856,Nicox SA,0,0,0
EVT-01166516,TRT-0034,Nicox SA,Doliage,Nicox (ALCOX FP) - Standardized,treatment,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2014,2012,-2,7.614,-6.619,-10.247,84.147,0.157,6.471,-11.3871,-114.8805,0.1866,4.432565269377431,0.1866,Nicox SA,0,0,0
EVT-01166516,TRT-0034,Nicox SA,Doliage,Nicox (ALCOX FP) - Standardized,treatment,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2014,2013,-1,0.436,-14.224,-18.145,72.178,0.152,3.685,-23.2145,-2537.844,0.2106,4.279135290324243,0.2106,Nicox SA,0,0,0
EVT-01166516,TRT-0034,Nicox SA,Doliage,Nicox (ALCOX FP) - Standardized,treatment,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2014,2015,1,0.067,-19.639,-27.939,163.348,3.941,6.159,-17.8302,-30931.3433,2.4126,5.095882894323518,2.4126,Nicox SA,1,0,0
EVT-01166516,TRT-0034,Nicox SA,Doliage,Nicox (ALCOX FP) - Standardized,treatment,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2014,2016,2,0.016,-6.929,-19.035,148.748,0.985,12.168,-12.1982,-48650.0,0.6622,5.002253598957198,0.6622,Nicox SA,1,0,0
EVT-01166516,TRT-0034,Nicox SA,Doliage,Nicox (ALCOX FP) - Standardized,treatment,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2014,2017,3,15.08,-17.534,-3.618,152.252,0.05,9.75,-2.404,-122.7984,0.0328,5.025537042792725,0.0328,Nicox SA,1,0,0
EVT-09182F95,TRT-0010,Sanofi,Ablynx NV,Sanofi SA (SAN FP) - Adjusted,treatment,EUR,High-confidence innovation-driven,High,Strict (100%),1,1,0,2018,2015,-3,34861.0,7085.0,4287.0,102321.0,16589.0,5082.0,4.2932,16.4138,16.2127,11.535870209465326,16.2127,Sanofi,0,1,0
EVT-09182F95,TRT-0010,Sanofi,Ablynx NV,Sanofi SA (SAN FP) - Adjusted,treatment,EUR,High-confidence innovation-driven,High,Strict (100%),1,1,0,2018,2016,-2,34708.0,7489.0,4709.0,104672.0,18589.0,5172.0,4.5499,18.8256,17.7593,11.55858693033811,17.7593,Sanofi,0,1,0
EVT-09182F95,TRT-0010,Sanofi,Ablynx NV,Sanofi SA (SAN FP) - Adjusted,treatment,EUR,High-confidence innovation-driven,High,Strict (100%),1,1,0,2018,2017,-1,36221.0,7112.0,8416.0,99813.0,15601.0,5472.0,8.2314,16.0239,15.6302,11.511053714337432,15.6302,Sanofi,0,1,0
EVT-09182F95,TRT-0010,Sanofi,Ablynx NV,Sanofi SA (SAN FP) - Adjusted,treatment,EUR,High-confidence innovation-driven,High,Strict (100%),1,1,0,2018,2019,1,37631.0,6882.0,2754.0,112630.0,25933.0,6020.0,2.4585,8.1077,23.0249,11.631863389041742,23.0249,Sanofi,1,1,1
