src,deal_id,Company_or_Group,priority_year,patent_families,Coverage_Basis,citations,deal_event_id,completion_year,RelativeYear,acquirer,target,Final_Classification,Classification_Confidence,Eligibility,InnovationDeal,is_primary_innovation,is_alternative,member_deal_ids,asinh_families
treatment,TRT-0034,Nicox,2011,2,Inferred from observed priority-year range,8,EVT-01166516,2014,-3,Nicox SA,Doliage,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0034,1.4436354751788103
treatment,TRT-0034,Nicox,2012,3,Inferred from observed priority-year range,7,EVT-01166516,2014,-2,Nicox SA,Doliage,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0034,1.8184464592320668
treatment,TRT-0034,Nicox,2013,4,Inferred from observed priority-year range,1,EVT-01166516,2014,-1,Nicox SA,Doliage,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0034,2.0947125472611012
treatment,TRT-0034,Nicox,2014,3,Inferred from observed priority-year range,0,EVT-01166516,2014,0,Nicox SA,Doliage,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0034,1.8184464592320668
treatment,TRT-0034,Nicox,2015,2,Inferred from observed priority-year range,0,EVT-01166516,2014,1,Nicox SA,Doliage,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0034,1.4436354751788103
treatment,TRT-0034,Nicox,2016,1,Inferred from observed priority-year range,0,EVT-01166516,2014,2,Nicox SA,Doliage,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0034,0.881373587019543
treatment,TRT-0034,Nicox,2017,0,Inferred from observed priority-year range,0,EVT-01166516,2014,3,Nicox SA,Doliage,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0034,0.0
treatment,TRT-0034,Nicox,2018,3,Inferred from observed priority-year range,1,EVT-01166516,2014,4,Nicox SA,Doliage,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0034,1.8184464592320668
treatment,TRT-0034,Nicox,2019,2,Inferred from observed priority-year range,1,EVT-01166516,2014,5,Nicox SA,Doliage,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0034,1.4436354751788103
treatment,TRT-0034,Nicox,2020,3,Inferred from observed priority-year range,2,EVT-01166516,2014,6,Nicox SA,Doliage,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0034,1.8184464592320668
treatment,TRT-0034,Nicox,2021,2,Inferred from observed priority-year range,0,EVT-01166516,2014,7,Nicox SA,Doliage,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0034,1.4436354751788103
treatment,TRT-0034,Nicox,2022,2,Inferred from observed priority-year range,0,EVT-01166516,2014,8,Nicox SA,Doliage,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0034,1.4436354751788103
treatment,TRT-0010,Sanofi,2015,15,Explicit search range,9,EVT-09182F95,2018,-3,Sanofi,Ablynx NV,High-confidence innovation-driven,High,Strict (100%),1,1,0,TRT-0010,3.4023066454805946
treatment,TRT-0010,Sanofi,2016,28,Explicit search range,4,EVT-09182F95,2018,-2,Sanofi,Ablynx NV,High-confidence innovation-driven,High,Strict (100%),1,1,0,TRT-0010,4.025670415869822
treatment,TRT-0010,Sanofi,2017,36,Explicit search range,0,EVT-09182F95,2018,-1,Sanofi,Ablynx NV,High-confidence innovation-driven,High,Strict (100%),1,1,0,TRT-0010,4.276858964458208
treatment,TRT-0010,Sanofi,2018,38,Explicit search range,1,EVT-09182F95,2018,0,Sanofi,Ablynx NV,High-confidence innovation-driven,High,Strict (100%),1,1,0,TRT-0010,4.330906425536431
treatment,TRT-0010,Sanofi,2019,42,Explicit search range,4,EVT-09182F95,2018,1,Sanofi,Ablynx NV,High-confidence innovation-driven,High,Strict (100%),1,1,0,TRT-0010,4.430958492080543
treatment,TRT-0010,Sanofi,2020,20,Explicit search range,1,EVT-09182F95,2018,2,Sanofi,Ablynx NV,High-confidence innovation-driven,High,Strict (100%),1,1,0,TRT-0010,3.6895038689889055
treatment,TRT-0010,Sanofi,2021,13,Explicit search range,0,EVT-09182F95,2018,3,Sanofi,Ablynx NV,High-confidence innovation-driven,High,Strict (100%),1,1,0,TRT-0010,3.2595725562629214
treatment,TRT-0044,Esteve Pharmaceuticals,2011,5,Inferred from observed priority-year range,0,EVT-105D176F,2020,-9,Esteve Pharmaceuticals SA,ESTEVE Pharmaceuticals GmbH,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0044,2.3124383412727525
treatment,TRT-0044,Esteve Pharmaceuticals,2012,7,Inferred from observed priority-year range,2,EVT-105D176F,2020,-8,Esteve Pharmaceuticals SA,ESTEVE Pharmaceuticals GmbH,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0044,2.644120761058629
treatment,TRT-0044,Esteve Pharmaceuticals,2013,14,Inferred from observed priority-year range,9,EVT-105D176F,2020,-7,Esteve Pharmaceuticals SA,ESTEVE Pharmaceuticals GmbH,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0044,3.3334775868839923
treatment,TRT-0044,Esteve Pharmaceuticals,2014,10,Inferred from observed priority-year range,2,EVT-105D176F,2020,-6,Esteve Pharmaceuticals SA,ESTEVE Pharmaceuticals GmbH,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0044,2.99822295029797
treatment,TRT-0044,Esteve Pharmaceuticals,2015,11,Inferred from observed priority-year range,0,EVT-105D176F,2020,-5,Esteve Pharmaceuticals SA,ESTEVE Pharmaceuticals GmbH,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0044,3.093102195050827
treatment,TRT-0044,Esteve Pharmaceuticals,2016,14,Inferred from observed priority-year range,7,EVT-105D176F,2020,-4,Esteve Pharmaceuticals SA,ESTEVE Pharmaceuticals GmbH,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0044,3.3334775868839923
treatment,TRT-0044,Esteve Pharmaceuticals,2017,8,Inferred from observed priority-year range,0,EVT-105D176F,2020,-3,Esteve Pharmaceuticals SA,ESTEVE Pharmaceuticals GmbH,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0044,2.7764722807237177
treatment,TRT-0044,Esteve Pharmaceuticals,2018,5,Inferred from observed priority-year range,0,EVT-105D176F,2020,-2,Esteve Pharmaceuticals SA,ESTEVE Pharmaceuticals GmbH,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0044,2.3124383412727525
treatment,TRT-0044,Esteve Pharmaceuticals,2019,3,Inferred from observed priority-year range,0,EVT-105D176F,2020,-1,Esteve Pharmaceuticals SA,ESTEVE Pharmaceuticals GmbH,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0044,1.8184464592320668
treatment,TRT-0044,Esteve Pharmaceuticals,2020,1,Inferred from observed priority-year range,0,EVT-105D176F,2020,0,Esteve Pharmaceuticals SA,ESTEVE Pharmaceuticals GmbH,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0044,0.881373587019543
treatment,TRT-0044,Esteve Pharmaceuticals,2021,1,Inferred from observed priority-year range,0,EVT-105D176F,2020,1,Esteve Pharmaceuticals SA,ESTEVE Pharmaceuticals GmbH,Alternative-rationale,High,Strict (100%),0,0,1,TRT-0044,0.881373587019543
control,CTL-0071,Roche Holding AG,2011,23,Inferred from observed earliest-priority-year range,688,EVT-1955B15F,2018,-7,F. Hoffmann-La Roche Ltd,Tusk Therapeutics Ltd,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0071,3.8291136516208812
control,CTL-0071,Roche Holding AG,2012,16,Inferred from observed earliest-priority-year range,149,EVT-1955B15F,2018,-6,F. Hoffmann-La Roche Ltd,Tusk Therapeutics Ltd,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0071,3.466711037884725
