model_tag,hypothesis,outcome,delta_alt(Post),beta(TreatxPost),delta+beta(innov),se,ci_lo,ci_hi,p,wild_p,obs,events,clusters,pre_mean_innov,pre_mean_alt,note
H2_primary_linearFE_ROA,H2,ROA_pct,2.758,10.776,13.533,12.48,-13.685,35.237,0.3879,0.4007,72,12,12,-6.101,3.891,"Primary: unique-acquirer, >=2pre/>=2post, omit t0"
H2_secondary_OpMargin,H2,OpMargin_w(rev>=50),-6.773,21.719,14.946,25.139,-27.552,70.99,0.3876,0.5413,58,10,10,21.188,36.139,"Secondary: winsorised op margin, revenue>=EUR50m (excludes mechanically extreme low-revenue obs)"
H2_serial_all_ROA,H2,ROA_pct,3.054,6.433,9.487,7.853,-8.96,21.826,0.4127,0.3772,96,16,12,-1.039,6.154,Serial acquirers included (cluster by acquirer)
H2_balanced_3x3_ROA,H2,ROA_pct,2.758,10.776,13.533,12.48,-13.685,35.237,0.3879,0.3972,72,12,12,-6.101,3.891,Balanced 3pre/3post
H2_winsorised_ROA,H2,ROA_w(1/99),1.639,10.103,11.742,12.371,-14.143,34.349,0.4141,0.4392,72,12,12,-5.954,3.891,Winsorised 1/99 (threshold pre-declared)
H2_include_t0_ROA,H2,ROA_pct,0.979,11.29,12.269,11.514,-11.277,33.857,0.3268,,84,12,12,-6.101,3.891,t0 coded as post
H1_primary_linearFE_fam,H1,patent_families,5.198,-0.457,4.741,2.074,-4.521,3.608,0.8257,0.8179,72,13,13,11.667,2.5,Primary: linear FE family count
H1_IHS_fam,H1,asinh(families),0.136,0.108,0.243,0.562,-0.994,1.209,0.8482,0.8339,72,13,13,,,IHS transform robustness
H1_PPML_fam,H1,patent_families(PPML),0.868,0.046,,0.518,-0.969,1.061,0.9295,,72,13,13,11.667,2.5,Poisson PPML; beta is log-count differential
H1_serial_all_fam,H1,patent_families,5.502,-0.812,4.69,1.806,-4.351,2.726,0.6528,0.6683,90,16,13,8.889,2.5,Serial acquirers included
H1_balanced_3x3_fam,H1,patent_families,22.568,-1.222,21.346,3.149,-7.395,4.95,0.6979,0.7884,48,8,8,12.267,2.111,Balanced 3pre/3post
